MAGs	16S_rRNA	23S_rRNA	5S_rRNA	CDSs	coding density	Count	CRISPR arrays	GC	hypotheticals	Length	N ratio	N50	ncRNA regions	ncRNAs	oriCs	oriTs	oriVs	pseudogenes	rRNAs	signal peptides	sORFs	tmRNAs	tRNAs
GFS_2724	5	4	0	3031	70.8	1072	0	56.7	1589	2735010	0	2888	2	4	0	0	0	27	8	0	0	0	39
GFS_2728	0	0	1	2233	79.9	630	0	68.6	1195	2213646	0	4526	4	2	0	0	0	0	1	0	0	1	31
GFS_2729	0	0	1	5366	86.3	655	1	62.9	3030	5065872	0	12869	6	1	0	0	0	1	1	0	0	1	53
GFS_2735	0	0	0	2740	63.3	1302	0	37	1210	3297838	0	3065	2	1	0	0	0	8	0	0	0	0	21
GFS_2750	2	0	1	1248	66	491	0	47.8	928	1095211	0	2559	1	1	0	0	0	0	3	0	0	0	34
GFS_2771	0	0	0	4157	82.2	809	1	65.7	2111	4667498	0	7273	4	7	0	0	0	14	0	0	0	0	30
GFS_2774	0	0	0	2947	88.8	427	0	65.7	1671	3020827	0	9261	7	1	0	0	0	6	0	0	0	1	51
GFS_2780	0	0	0	1996	86	249	0	53.5	483	2000882	0	10784	4	5	0	0	0	9	0	0	1	0	35
GFS_2787	0	0	0	2962	85.2	528	0	63.8	980	3012662	0	7185	5	4	0	0	0	2	0	0	0	1	40
GFS_2794	0	0	0	2144	83.8	418	0	62.2	678	2131418	0	6702	3	5	0	0	0	3	0	0	0	1	31
GFS_2796	0	0	0	3335	82	868	0	66.9	1340	3381074	0	4496	3	3	0	0	0	2	0	0	0	1	33
GFS_2847	0	0	0	2743	82.1	622	0	57.4	1189	2618435	0	4774	4	1	0	0	0	3	0	0	0	0	33
GFS_2854	0	0	1	2627	85.9	233	3	30.9	841	2966172	0	21783	3	56	0	0	0	3	1	0	0	0	33
GFS_2860	1	0	0	665	78.9	93	0	38.9	406	627694	0	9677	0	0	0	0	0	0	0	0	0	0	23
GFS_2863	0	0	1	4661	82.4	855	0	62.8	1777	4779818	0	7394	7	5	0	0	0	8	1	0	0	0	44
GFS_2867	1	1	0	2737	85.7	220	0	41.2	1608	3396678	0	24444	3	3	0	0	0	0	2	0	0	0	36
GFS_287	0	0	0	1247	86.8	156	0	52.6	377	1214647	0	10374	1	3	0	0	0	1	0	0	0	0	30
GFS_2885	1	0	1	2808	86.9	287	0	36.1	1447	2831789	0	26325	2	4	0	0	0	3	2	0	0	0	56
GFS_2886	0	0	0	2023	77.2	687	0	59.6	1066	1963334	0	3463	2	3	0	0	0	1	0	0	0	0	31
GFS_2900	0	0	0	2238	65	991	0	36.8	1171	2605891	0	3107	3	0	0	0	0	12	0	0	0	1	21
GFS_2902	0	0	1	2096	63	213	0	43.1	1792	1076787	0	7520	1	1	0	0	0	161	1	0	0	0	33
GFS_2908	0	0	1	2868	86.6	194	1	55.2	1114	2865763	0	23209	7	5	0	0	0	5	1	0	0	1	44
GFS_2917	0	0	0	1852	76.8	420	0	40.8	1610	1556968	0	4101	0	1	0	0	0	0	0	0	0	0	23
GFS_2923	0	0	0	2855	61.7	1352	0	41.7	1071	3090965	0	2523	5	8	0	0	0	32	0	0	0	1	24
GFS_2925	0	1	1	1137	64	228	0	44.4	932	608926	0	3122	0	0	0	0	0	100	2	0	0	0	25
GFS_2933	2	0	1	2564	75.2	549	2	44.5	787	2711484	0	6914	4	5	0	0	0	20	3	0	1	0	33
GFS_294	0	0	1	1242	76.1	269	0	32.7	1165	1019914	0	4301	0	2	0	0	0	0	1	0	0	0	31
GFS_2948	0	0	0	1556	58.9	956	0	40.3	767	1782138	0	1990	4	2	0	0	0	10	0	0	0	1	20
GFS_2951	1	0	0	703	81.6	80	0	44.7	413	645584	0	10920	1	2	0	0	0	1	1	0	0	0	39
GFS_2960	0	0	0	3105	85.1	543	0	55.2	1162	2905807	0	7013	7	7	0	0	0	2	0	0	0	1	25
GFS_2961	1	0	0	3880	77.7	1065	0	66.3	2294	3769939	0	3970	0	2	0	0	0	5	1	0	1	0	31
GFS_2964	0	0	1	3024	84.4	659	0	66.9	1284	2817536	0	5272	5	1	0	0	0	3	1	0	0	0	38
GFS_2967	0	0	0	3337	81.4	910	1	63.5	1739	3353529	0	4148	2	2	0	0	0	5	0	0	0	0	21
GFS_2977	0	0	1	4666	85.6	888	0	66	2188	4510301	0	8106	3	2	0	0	0	0	1	0	0	0	51
GFS_2983	0	0	0	3997	80.3	1110	0	60.6	1686	3703506	0	4914	10	8	0	0	0	10	0	0	0	1	42
GFS_3013	0	0	0	3143	66	1658	0	60.7	2397	2599968	0	1575	2	1	0	0	0	1	0	0	0	0	13
GFS_3016	0	0	0	1181	67.6	211	0	29.7	1044	1384115	0	9101	0	0	0	0	0	0	1	0	0	0	34
GFS_3035	1	0	1	1499	80.5	347	0	36.2	770	1571589	0	5693	2	2	0	0	0	0	2	0	0	0	16
GFS_3043	1	0	0	3538	89.2	140	0	40.5	2139	3599498	0	52403	2	2	0	0	0	2	1	0	0	1	36
GFS_3044	0	0	0	2487	90.3	145	0	55.5	596	2570415	0	28981	3	4	0	0	0	1	0	0	0	1	42
GFS_3046	0	0	0	2719	79	713	0	66.7	1189	2705189	0	4325	6	3	0	0	0	5	0	0	0	1	27
GFS_3054	0	0	0	4305	78.1	1043	1	51.9	2572	5026977	0	6740	3	11	0	0	0	0	0	0	0	1	28
GFS_3055	1	1	1	2247	59.7	107	0	34.2	1984	1239405	0	14799	0	1	0	0	0	67	3	0	0	0	36
GFS_3062	0	0	0	1945	51.8	64	0	37.6	1884	932442	0	22906	0	0	0	0	0	5	0	0	0	1	34
GFS_3080	0	0	0	3831	77.3	786	2	48.8	1761	4144477	0	8384	11	2	0	0	0	9	0	0	0	1	35
GFS_3093	1	2	0	627	70.2	214	0	46.9	377	620166	0	3427	0	0	0	0	0	1	3	0	0	2	20
GFS_3094	0	0	0	1980	89.9	177	0	63.1	470	1992563	0	14809	5	2	0	0	0	6	0	0	0	0	29
GFS_3101	0	0	1	4263	86.3	658	0	66	1858	4275939	0	9665	4	2	0	0	0	2	1	0	0	1	44
GFS_3103	0	0	0	2776	81.9	551	0	59.9	1108	2689451	0	6415	3	5	0	0	0	6	0	0	1	1	35
GFS_3107	0	0	0	4681	86.4	707	1	62.1	2676	4373319	0	8191	5	3	0	0	0	3	1	0	0	0	50
GFS_3108	0	0	0	4334	83.4	830	0	58.4	1528	4232596	0	6527	10	8	0	0	0	11	0	0	1	0	41
GFS_3111	0	0	0	3428	78	797	2	58.8	1621	3300958	0	4905	4	2	0	0	0	17	0	0	0	0	28
GFS_3114	0	0	1	7618	87.6	918	0	61.3	4102	8432106	0	13760	2	3	0	0	0	13	1	0	0	1	44
GFS_3124	0	0	1	3960	81.1	1175	0	66.1	2041	3602540	0	3837	3	5	0	0	0	1	1	0	1	0	30
GFS_3132	0	0	0	4295	83.6	648	2	51.3	2504	4269255	0	9830	5	2	0	0	0	1	0	0	0	0	68
GFS_3137	0	0	0	1797	64.1	838	2	43.7	736	1990924	0	2589	2	4	0	0	0	4	0	0	4	0	26
GFS_3143	0	0	2	3752	89.5	286	0	64.3	1307	4283776	0	19387	4	2	0	0	0	7	2	0	0	0	33
GFS_3148	0	0	0	2034	82.5	549	0	64.6	1233	1970495	0	3933	1	3	0	0	0	0	0	0	0	1	22
GFS_3150	0	0	0	1265	73.2	288	0	31.8	1133	1152994	0	4717	0	0	0	0	0	0	1	0	0	0	26
GFS_3154	0	0	0	1678	83.8	437	0	68.2	767	1788325	0	4961	2	4	0	0	0	3	0	0	0	0	32
GFS_3156	0	0	0	2093	72.2	729	0	45.9	1013	2102431	0	2994	1	0	0	0	0	3	0	0	0	0	8
GFS_3165	0	0	0	2431	65.3	1148	0	40.4	1165	2703130	0	2731	3	3	0	0	0	3	0	0	0	0	31
GFS_3178	0	0	0	3237	59.6	1737	0	47.2	2038	3642845	0	2285	3	18	0	0	0	2	0	0	0	0	32
GFS_3212	0	0	0	3299	83.7	626	0	53.8	1395	3085498	0	5871	10	5	0	0	0	4	0	0	0	0	47
GFS_3216	0	0	0	7317	84.9	1355	0	70.3	4710	7527695	0	7451	2	3	0	0	0	4	0	0	0	1	31
GFS_3221	0	0	1	873	82.6	49	0	46.2	481	847086	0	23277	0	0	0	0	0	0	1	0	0	1	21
GFS_3223	1	1	1	2896	86.8	174	6	44.3	2512	2557677	0	25468	0	0	0	0	0	2	3	0	0	0	45
GFS_3228	0	0	0	915	80.1	87	0	42.8	530	855906	0	14964	0	1	0	0	0	0	0	0	0	1	32
GFS_3232	0	1	0	1191	35.2	168	0	32.2	1135	968937	0	7809	1	0	0	0	0	6	1	0	0	0	20
GFS_3239	0	0	0	3033	85.9	179	2	34.2	1209	3487570	0	27354	2	29	0	0	0	4	0	0	0	1	33
GFS_3240	1	0	1	2838	83.2	548	0	56.1	1194	3159215	0	7865	1	4	0	0	0	3	2	0	0	1	40
GFS_3241	0	0	0	3705	67.2	1626	0	52.2	2254	3760937	0	2631	5	1	0	0	0	35	0	0	1	1	44
GFS_3253	1	3	1	1148	71.5	319	0	46	790	1104022	0	4594	0	0	0	0	0	1	4	0	0	0	36
GFS_3296	0	0	0	2178	79.3	389	0	38.2	874	2538904	0	8477	3	2	0	0	0	2	0	0	0	1	39
GFS_3299	0	0	0	3620	82.3	873	0	66.8	1278	3532752	0	5151	9	5	0	0	0	15	0	0	0	1	25
GFS_3300	0	0	0	2469	80.8	377	0	36.3	1038	2774622	0	9969	3	3	0	0	0	9	0	0	0	1	17
GFS_3301	0	0	0	1821	75.6	500	0	30.7	616	2033848	0	4754	4	42	0	0	0	1	0	0	0	1	28
GFS_3307	0	0	0	6800	81.2	1828	0	68.7	4688	6779676	0	4301	1	3	0	0	0	0	0	0	0	1	26
GFS_3316	0	0	0	3243	69.4	1052	0	37.2	1209	3861753	0	4364	4	13	0	0	0	34	0	0	0	0	21
GFS_3325	0	0	0	3097	86.5	275	0	61.7	868	3457503	0	18881	7	7	0	0	0	2	0	0	0	0	27
GFS_3339	0	0	0	3765	75.5	1076	2	57.9	1783	3612860	0	5144	4	1	0	0	0	12	0	0	0	0	27
GFS_3344	0	0	1	2765	73.3	861	1	40.3	1472	2860220	0	4514	2	2	0	0	0	5	1	0	0	1	25
GFS_335	0	0	0	2481	82.1	456	0	63.4	879	2570401	0	6722	4	4	0	0	0	3	0	0	0	1	22
GFS_3356	0	0	0	4360	87.2	436	2	58.4	2158	4773145	0	22413	2	8	0	0	0	14	0	0	0	0	45
GFS_3369	0	0	0	4345	87.6	629	0	68.7	3093	4539671	0	9018	3	2	0	0	0	0	0	0	0	0	29
GFS_3372	0	0	0	3149	86.9	63	1	43.7	872	3317609	0	139850	3	7	0	0	0	14	0	0	1	1	37
GFS_3381	0	0	0	5033	88.8	211	0	63.4	2262	6108043	0	49495	3	12	0	0	0	13	0	0	0	1	44
GFS_3383	0	0	0	2565	80.3	744	0	72.1	1289	2536761	0	3772	1	4	0	0	0	2	0	0	0	1	23
GFS_3384	0	0	0	4152	79.7	767	0	46	3142	4685301	0	7782	5	2	0	0	0	1	0	0	0	1	30
GFS_339	0	0	0	3518	87	243	0	64.7	1316	3557769	0	22204	6	3	0	0	0	2	0	0	0	0	41
GFS_3390	0	0	0	698	78	138	0	37.9	433	673527	0	5979	0	2	0	0	0	0	1	0	0	0	22
GFS_3396	0	0	0	2601	83.4	331	0	49.2	731	2714515	0	11729	6	4	0	0	0	13	0	0	1	0	22
GFS_3401	0	0	0	3216	78.1	945	1	67.2	1409	3206625	0	3714	11	4	0	0	0	9	0	0	0	0	29
GFS_3414	0	0	0	2793	76.7	766	0	57.5	1510	2765332	0	4144	3	34	0	0	0	7	0	0	0	0	33
GFS_3417	1	1	1	679	86.4	52	0	49.2	445	636029	0	17043	0	0	0	0	0	0	3	0	0	0	23
GFS_3428	0	0	0	992	78.2	168	0	42.7	627	948185	0	12816	3	0	0	0	0	0	0	0	0	0	33
GFS_3451	0	0	0	3096	82.9	562	0	61.3	1269	3085195	0	6903	8	13	0	0	0	5	0	0	0	1	29
GFS_3453	0	0	0	818	77.8	126	0	41.2	510	806479	0	8952	0	6	0	0	0	0	0	0	0	0	26
GFS_3474	1	0	0	870	81.2	64	0	40	568	860323	0	26678	0	4	0	0	0	0	2	0	0	1	42
GFS_3484	0	0	1	1442	79.7	307	0	30.1	473	1595015	0	6986	3	1	0	0	0	0	1	0	0	1	31
GFS_3499	0	0	0	2579	75.8	707	0	43	1657	2867694	0	5305	4	3	0	0	0	0	0	0	0	0	16
GFS_3520	0	0	1	4746	84.9	843	2	59.5	2850	5594983	0	11883	5	9	0	0	0	1	1	0	0	0	62
GFS_3553	0	0	1	806	83.4	86	0	46.7	409	822594	0	15701	0	1	0	0	0	0	1	0	0	0	25
GFS_3556	0	0	0	4232	72.8	1092	0	39.1	2490	4877485	0	5396	2	2	0	0	0	0	0	0	0	0	47
GFS_3577	1	1	0	3303	84.7	378	0	64.6	1314	3329206	0	15947	7	4	0	0	0	4	2	0	0	0	29
GFS_3631	0	0	0	2674	77.9	722	0	53.1	1171	2733798	0	5448	5	4	0	0	0	1	0	0	0	1	33
GFS_3651	0	0	0	3182	82.7	737	0	65.3	1687	3402798	0	5869	2	3	0	0	0	0	0	0	0	0	32
GFS_3655	0	0	0	2402	85	381	0	36.8	1299	2512714	0	9605	2	3	0	0	0	0	0	0	0	0	28
GFS_3657	0	0	0	724	79.7	115	0	39.9	414	747798	0	7694	0	2	0	0	0	1	0	0	0	0	26
GFS_3677	0	0	0	1935	77	461	1	34.2	778	2241584	0	5695	2	3	0	0	0	2	0	0	0	1	13
GFS_3689	0	0	0	5569	61.4	2635	0	36.8	4648	5597706	0	2308	2	3	0	0	0	1	0	0	0	0	30
GFS_3732	0	0	0	2771	88.3	180	1	30.4	979	3029303	0	25040	5	67	0	0	0	4	0	0	0	0	27
GFS_3735	0	0	0	2656	81.4	453	1	33.6	1270	3064649	0	8147	0	2	0	0	0	2	0	0	0	1	22
GFS_3738	1	0	0	647	78.2	126	1	43.2	380	648785	0	6856	0	1	0	0	0	0	1	0	0	0	20
GFS_3817	0	0	0	4235	86.5	346	2	56	1360	4330403	0	20155	11	7	0	0	0	8	0	0	0	0	40
GFS_3818	0	0	0	2775	85.3	280	0	40.7	1409	2728591	0	15314	3	3	0	0	0	4	0	0	0	0	29
GFS_3822	0	0	0	3102	86.1	450	0	56.4	1102	2996574	0	8571	5	4	0	0	0	5	0	0	0	0	41
GFS_3826	0	0	2	4826	73.2	1021	4	37.3	3013	5789010	0	7888	3	15	0	0	0	0	3	0	0	1	52
GFS_3829	0	0	0	600	83.4	72	0	32.5	438	579291	0	11486	0	0	0	0	0	0	1	0	0	0	31
GFS_3830	0	0	3	3247	85.9	333	3	59.8	2311	3854678	0	16471	1	5	0	0	0	0	3	0	0	1	46
GFS_3841	0	0	1	3089	68.1	1243	0	46.2	1669	3462106	0	3257	3	3	0	0	0	1	1	0	0	0	9
GFS_3868	0	0	0	3201	72.4	872	4	37.3	1749	3997628	0	5913	3	2	0	0	0	2	0	0	0	1	27
GFS_3870	0	0	1	622	85.9	62	0	34	326	595785	0	12394	1	0	0	0	0	0	1	0	0	1	28
GFS_3872	0	0	0	2928	85.3	588	0	69.4	1595	2996474	0	6781	3	2	0	0	0	2	0	0	0	0	30
GFS_3876	0	0	0	4030	88.6	240	0	62.4	1087	4139095	0	35714	10	8	0	0	0	9	0	0	0	0	41
GFS_3877	0	0	0	4618	88.7	263	1	56.8	2111	5461293	0	54813	1	7	0	0	0	4	0	0	0	1	57
GFS_3882	0	0	1	3796	80.7	460	2	32	2302	4613401	0	13921	6	3	0	0	0	0	1	0	0	1	36
GFS_3883	0	0	0	3272	85.3	710	0	66.7	1834	3618124	0	6369	1	3	0	0	0	1	0	0	0	0	33
GFS_3885	0	0	0	2619	85.8	541	0	65.5	1061	2561529	0	5673	3	2	0	0	0	1	0	0	0	1	18
GFS_3888	0	0	0	3906	84.4	740	0	66.2	2113	3900957	0	6581	4	2	0	0	0	1	0	0	0	1	33
GFS_3889	0	0	0	3478	82.6	428	0	36.4	1446	4181122	0	15797	4	4	0	0	0	3	0	0	0	0	28
GFS_3895	0	0	0	3851	74.8	843	2	38.9	2520	4664162	0	7280	2	1	0	0	0	1	0	0	0	0	43
GFS_3922	0	0	1	3054	65.6	1297	0	38.2	1396	3687008	0	3453	3	3	0	0	0	6	1	0	0	0	22
GFS_3927	0	0	0	3601	81.8	712	3	63.3	1978	4059308	0	10336	1	2	0	0	0	3	0	0	0	0	43
GFS_3956	0	0	0	2189	79.4	416	0	37.8	955	2604529	0	8205	2	3	0	0	0	0	0	0	0	0	24
GFS_3957	0	0	1	2592	85.4	290	1	30.9	756	2854141	0	17480	4	48	0	0	0	2	1	0	0	0	36
GFS_3960	0	0	0	4517	71.1	1376	4	39.2	2657	5361217	0	4620	2	4	0	0	0	2	0	0	1	1	23
GFS_3976	1	0	0	1933	76.8	503	1	35.5	658	2198291	0	6576	7	164	0	0	0	1	1	0	0	0	34
GFS_3984	0	0	1	2614	81.9	511	0	43.1	1415	2713915	0	8219	3	2	0	0	0	0	1	0	0	1	24
GFS_3985	3	3	1	1626	73.3	560	0	50.6	740	1686852	0	4038	4	2	0	0	0	1	7	0	0	1	46
GFS_3993	0	0	1	2311	70.3	915	0	45.3	1404	2450226	0	3247	3	2	0	0	0	1	1	0	0	1	24
GFS_3998	0	0	1	3135	83.7	572	0	65.3	1433	3496591	0	8435	3	4	0	0	0	8	1	0	0	0	29
GFS_4002	0	0	0	5433	71.5	1825	2	53	3471	6267225	0	3777	0	3	0	0	0	10	1	0	0	0	22
GFS_4010	0	0	0	2212	76	505	1	39.8	1042	2599491	0	6206	5	2	0	0	0	0	0	0	0	1	23
GFS_4011	0	0	1	3575	86.5	450	0	68.2	1622	3801620	0	18295	7	2	0	0	0	2	1	0	0	1	27
GFS_4015	0	1	1	4723	84	816	0	56.8	2663	5356739	0	8306	6	1	0	0	0	0	2	0	0	1	36
GFS_4018	0	0	0	2942	85.5	464	0	51.7	859	2931900	0	9207	10	3	0	0	0	1	0	0	0	0	32
GFS_4022	0	0	1	2830	85.6	232	1	42.2	1605	3499691	0	23854	3	3	0	0	0	0	1	0	0	0	31
GFS_4024	0	0	1	3620	85.1	630	0	64.9	1667	3956809	0	8217	3	2	0	0	0	10	1	0	0	1	21
GFS_4032	0	0	1	5812	84.9	967	5	59.5	3714	6456746	0	8854	6	19	0	0	0	1	1	0	0	0	41
GFS_4039	0	0	0	1654	86.3	252	0	47.2	414	1735892	0	8552	4	1	0	0	0	0	0	0	0	0	34
GFS_4040	0	0	1	4212	87.5	320	1	59.4	2114	4346044	0	20789	1	4	0	0	0	2	1	0	0	1	39
GFS_4042	0	0	0	2625	82.2	343	0	38.3	898	3109449	0	13929	2	3	0	0	0	4	0	0	0	1	26
GFS_4045	0	0	1	4541	84.7	259	0	55	1561	4580425	0	96848	6	4	0	0	0	38	1	0	0	1	57
GFS_4065	1	1	1	769	80.3	73	0	42.6	354	833422	0	15422	0	3	0	0	0	1	3	0	0	0	35
GFS_4079	0	0	1	4769	89.5	226	2	65	1930	5586221	0	51806	10	6	0	0	0	4	1	0	2	0	46
GFS_4080	1	0	0	3205	84	495	2	55.5	1681	3183664	0	13379	1	2	0	0	0	6	0	0	0	0	46
GFS_4082	0	0	0	4489	92.1	165	0	64.7	1355	5048734	0	64981	10	7	0	0	0	6	0	0	1	0	53
GFS_4088	0	0	1	8432	87.1	269	3	65.9	5181	10051293	0	90313	1	4	0	0	0	3	1	0	0	1	45
GFS_4112	1	0	0	4894	86.6	585	0	64.3	2341	4780913	0	13102	5	6	0	0	0	3	1	0	2	2	43
GFS_4118	0	0	0	3763	76.4	785	2	38.4	1971	4580426	0	7767	2	5	0	0	0	4	1	0	0	1	30
GFS_4127	1	1	0	1971	72.9	627	0	31.8	897	2297766	0	4249	2	2	0	0	0	0	2	0	0	0	31
GFS_4128	0	0	1	2995	89.6	101	0	63.3	1024	3230242	0	50909	6	7	0	0	0	1	1	0	0	1	39
GFS_4138	0	0	0	5645	84.1	1146	0	68.6	3697	5859980	0	6873	3	3	0	0	0	1	0	0	0	1	37
GFS_4145	0	0	0	3977	88.4	330	0	64.2	1753	4103964	0	21401	3	4	0	0	0	1	0	0	1	0	39
GFS_4189	0	0	0	2814	78.6	598	0	40.8	932	3284244	0	9232	4	2	0	0	0	6	0	0	0	1	26
GFS_4193	0	0	1	3851	87.1	320	0	41.5	2863	4311645	0	32237	2	2	0	0	0	3	1	0	0	0	38
GFS_4219	0	0	1	5316	92.9	102	0	64.6	2978	5924183	0	89753	1	2	0	0	0	1	1	0	1	1	47
GFS_4233	0	0	0	2504	87.3	158	1	54.7	738	2486820	0	22854	9	5	0	0	0	7	0	0	2	1	40
GFS_4274	0	0	0	2922	78.9	600	2	59.9	1528	2951852	0	5539	4	4	0	0	0	3	0	0	0	0	34
GFS_4286	0	0	1	2925	86	149	3	35.8	1238	3586213	0	45265	6	4	0	0	0	0	1	0	0	1	31
GFS_4290	0	0	1	3028	92.2	97	0	42.3	1605	3062179	0	56169	3	3	0	0	0	0	1	0	0	1	34
GFS_4292	0	0	1	2671	83.9	510	0	71.2	1010	2625585	0	6983	12	1	0	0	0	2	1	0	0	1	34
GFS_4302	1	0	0	2161	88	262	0	36.2	1021	2219136	0	19151	2	2	0	0	0	0	1	0	0	1	19
GFS_4306	0	0	1	3104	89.9	201	4	56.3	966	3086186	0	24905	5	2	0	0	0	0	1	0	0	1	45
GFS_4320	0	0	0	2809	90.5	176	0	39.2	1305	2846369	0	28114	5	2	0	0	0	1	0	0	0	0	35
GFS_4323	0	0	0	2835	92.9	68	0	38.6	1302	2886718	0	73653	2	3	0	0	0	2	0	0	0	0	32
GFS_4334	0	0	1	4537	83	1140	0	69.2	2355	4716866	0	5246	2	3	0	0	0	4	1	0	0	0	30
GFS_4335	0	0	1	1621	79.5	362	0	45.8	483	1653794	0	5543	4	3	0	0	0	2	1	0	2	0	18
GFS_4339	1	1	1	920	84.6	81	0	47.9	495	866760	0	14395	1	1	0	0	0	0	2	0	0	0	39
GFS_4345	0	0	0	3761	84.2	697	0	62.9	2116	3432248	0	5944	3	0	0	0	0	2	0	0	0	1	36
GFS_4374	0	0	0	3660	78	1165	1	63	1398	3624303	0	3949	12	8	0	0	0	12	0	0	0	0	28
GFS_4384	0	0	0	5839	73.9	2039	0	51.7	3606	6252003	0	3795	3	2	0	0	0	3	0	0	0	0	34
GFS_4394	0	0	0	3660	86.1	349	2	54.3	1108	3806540	0	22325	10	6	0	0	0	6	0	0	0	0	40
GFS_4401	1	0	0	3278	83.3	644	0	60.9	1065	3252718	0	6251	12	6	0	0	0	16	1	0	0	1	28
GFS_4411	0	0	0	1430	82.8	282	0	57.2	369	1438778	0	6106	4	5	0	0	0	2	0	0	0	0	29
GFS_442	0	0	0	3762	80.6	1061	0	66	1443	3773670	0	4070	8	4	0	0	0	5	0	0	0	0	30
GFS_4421	0	0	0	2699	81.2	472	1	31.1	923	2959920	0	12357	6	47	0	0	0	3	0	0	0	1	53
GFS_4440	1	0	0	846	71.1	264	0	45.1	516	840930	0	4338	0	1	0	0	0	0	1	0	0	0	29
GFS_4441	0	0	0	986	70.3	371	0	47.4	647	948556	0	2948	0	0	0	0	0	1	0	0	0	0	24
GFS_4442	1	1	0	1152	79.7	278	0	50.9	779	1166542	0	5437	0	1	0	0	0	0	2	0	0	0	35
GFS_4443	0	0	0	2228	78.3	475	1	29.4	849	2529020	0	5907	6	27	0	0	0	7	0	0	0	1	17
GFS_4453	0	0	0	3267	78.8	899	0	63.7	1432	3232741	0	4073	5	3	0	0	0	1	0	0	0	0	23
GFS_4463	0	0	0	4352	85.6	519	1	59.3	1601	4477649	0	13114	8	8	0	0	0	5	0	0	0	1	42
GFS_449	0	0	0	2958	86	589	0	62.4	1224	2812005	0	5845	4	2	0	0	0	1	0	0	2	0	34
GFS_4518	0	0	0	3704	62.8	1823	1	52.2	2653	4231677	0	2597	7	2	0	0	0	1	0	0	0	0	31
GFS_4519	0	0	0	1805	64.5	932	0	40.2	853	2037563	0	2362	5	2	0	0	0	13	0	0	0	0	26
GFS_4520	0	0	0	2383	70.9	896	0	49.8	975	2438030	0	3228	3	6	0	0	0	2	0	0	0	0	20
GFS_4522	0	0	0	4236	87.5	480	1	71.5	2455	4767160	0	11152	2	2	0	0	0	3	0	0	0	0	36
GFS_4523	0	0	0	3545	83	598	1	62.7	1137	3639930	0	7613	12	5	0	0	0	13	0	0	0	0	32
GFS_4538	3	7	1	1976	83.6	303	0	50.4	553	1975808	0	13769	6	5	0	0	0	8	11	0	2	0	49
GFS_4539	0	0	0	3379	77.5	1077	0	63.7	1864	3221164	0	3761	3	0	0	0	0	1	0	0	0	1	21
GFS_4547	1	1	1	4115	80.4	799	0	57.1	2110	4176268	0	8364	1	5	0	0	0	9	3	0	0	1	45
GFS_455	1	1	0	539	84.7	62	0	30.1	306	494623	0	11411	0	1	0	0	0	0	2	0	0	0	34
GFS_4605	0	0	1	1755	82.5	468	0	66.9	726	1826085	0	4406	1	4	0	0	0	3	1	0	0	0	31
GFS_4616	0	0	1	2539	89	275	0	64.9	1397	2409954	0	16916	5	3	0	0	0	2	1	0	0	0	42
GFS_4620	0	0	0	3830	80.5	1214	0	69.1	2121	4068990	0	3834	1	3	0	0	0	1	0	0	0	1	24
GFS_4626	0	0	0	2785	79.8	532	0	57.6	1245	2705062	0	6350	3	4	0	0	0	1	0	0	0	0	42
GFS_4627	0	0	0	5171	81.2	804	1	60.2	2328	7107874	0	13103	2	107	0	0	0	20	0	0	0	1	38
GFS_4630	0	0	0	2341	82.7	624	0	63.6	1126	2268054	0	4050	9	3	0	0	0	1	0	0	0	1	23
GFS_4648	0	1	2	1925	71.1	663	0	42.7	760	2030241	0	3985	3	1	0	0	0	3	3	0	3	1	34
GFS_4656	0	0	0	6057	80.9	944	1	56.6	3329	7489037	0	12762	2	7	0	0	0	5	0	0	0	1	47
GFS_4681	0	0	0	4772	81.8	1285	0	68.9	3205	4778104	0	4228	1	2	0	0	0	1	0	0	0	0	29
GFS_4682	0	0	1	3306	83.1	601	0	60.7	1371	3489753	0	7365	6	3	0	0	0	2	1	0	0	0	40
GFS_4690	0	0	0	2787	83.5	625	0	65.3	913	2854914	0	5603	2	5	0	0	0	3	0	0	0	1	31
GFS_4694	0	0	0	2858	85.4	300	0	44.6	1804	3023663	0	14864	1	3	0	0	0	0	0	0	0	1	23
GFS_4696	0	0	1	1943	88.4	268	0	64.6	569	2047621	0	12984	10	2	0	0	0	0	1	0	0	0	23
GFS_4697	0	0	0	1482	73.6	469	0	41	861	1667857	0	3807	1	2	0	0	0	0	0	0	0	0	15
GFS_4702	0	0	0	2555	81.9	620	0	67.8	909	2510833	0	4812	11	3	0	0	0	7	0	0	0	1	30
GFS_4707	0	0	0	3439	84.2	410	0	55.6	1405	3539597	0	10915	12	3	0	0	0	0	0	0	0	0	34
GFS_4712	0	0	1	1464	91.6	101	0	47.4	434	1499523	0	25909	6	3	0	0	0	0	1	0	0	0	39
GFS_4714	0	0	0	3417	85.3	550	0	69.3	1181	3486525	0	8178	4	6	0	0	0	3	0	0	0	1	42
GFS_4720	0	0	1	2628	84.3	459	0	62.7	961	2686353	0	7557	5	4	0	0	0	4	1	0	0	0	11
GFS_4721	0	0	0	3437	80.1	827	0	68	1534	3422542	0	4801	5	5	0	0	0	7	0	0	0	0	28
GFS_4722	0	0	1	2249	87.1	419	0	69.5	830	2106948	0	6509	2	1	0	0	0	8	1	0	0	1	32
GFS_4723	0	0	1	1756	89.6	145	0	65.4	548	1716733	0	19843	4	3	0	0	0	1	1	0	0	2	36
