Sample	code_gl	Site_c	water_temp [C]	ph [pH]	do [mg l-1]	do_sat [saturation]	w_co2 [mATM]	conductivity [uS cm -1]	turb [NTU]	rdna [boolean]	lat_sn [DD]	lon_sn [DD]	ele_sn [m]	lat_sp [DD]	lon_sp [DD]	ele_sp [m]	max_el [m]	mean_el [m]	sn_sp_dist [m]	sn_sp_ele [m]	abl_asp [°]	gl_sa [km2]	gl_cov [%]	gl_a [km2]	mb_obs	fv_obs	data_ts	sn_data_ts	chla [ug g-1]	eps [ugC g-1]	ag [nmol g-1 h-1]	ap [nmol g-1 h-1]	bg [nmol g-1 h-1]	lap [nmol g-1 h-1]	nag [nmol g-1 h-1]	bp [ngC g-1 h-1]	wba [cells ml-1]	sba [cells g-1]	respiration [mg 02 g-1 h-1]	abs254 [m-1]	abs300 [m-1]	suva [mg C l-1 m-1]	e2e3 [proportion]	e4e6 [proportion]	s275295 [nm-1]	s350400 [nm-1]	s300700 [nm-1]	sr [proportion]	bix [proportion]	fi [proportion]	hix [proportion]	coble_t [RU]	coble_a [RU]	coble_m [RU]	coble_c [RU]	doc [ug l-1]	i1_na [ug l-1]	i2_k [ug l-1]	i3_mg [ug l-1]	i4_ca [ug l-1]	i5_cl [ug l-1]	i6_so4 [ug l-1]	n3_srp [ug l-1]	n4_nh4 [ug l-1]	n5_no3 [ug l-1]	n6_no2 [ug l-1]	hydro_isotope [per_mil]	oxy_isotope [per_mil]
GL139_DN	GL139	Kyrgyzstan	11.5	8.515	6.98	100.9	NA	253	3.349523	0	41.81778	77.79695	4041	41.8245	77.7927	3813	4380	4261	887	228	315	0.14	0.35	0.39	NA	NA	20210726	20210726	0.029773556	NA	0.304705222	4.900702778	0.847526667	55.34522889	0.227316445	93.30996667	NA	46913182.96	1.76E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.01	0.564	3.097	43.584	1.794	45.579	1.29	19.82	496.62	1.88	NA	NA
GL139_UP	GL139	Kyrgyzstan	1.9	8.848	8.65	100.5	NA	146.6	2.626907	0	41.81778	77.79695	4041	41.8182	77.7974	4014	4380	4261	59	27	315	0.14	0.78	0.17303	NA	NA	20210726	20210726	0.157747333	NA	0.449383889	11.98170467	0.925167778	55.97410222	0.366132889	78.52231833	NA	34106240.9	9.75E-05	0.809	0.541	0.099666667	2.948	5.2	0.009	0.007	0.008	1.321	0.990385	1.454964667	2.873676	0.022323333	0.04506	0.031540667	0.022153	355	1.778	0.345	2.0275	23.4035	1.526	10.3555	1.08	14.21	497.7	0.57	NA	NA
GL13_Down	GL13	New_Zealand	0.9	6.7	11.9	100.6	406.8	6.9	4.5	0	-44.0818	169.4317	1708	-44.0838	169.4305	1655	2390	1956	241	53	225	1.81	0.53	3.41	15	35	20190328	20190107	0.008251555	0	0.178460886	1.822026299	0.574264158	4.96487524	0.191684779	36.18690333	NA	64181965.8	2.94E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL13_DownB	GL13	New_Zealand	0.9	6.7	11.9	100.6	406.8	6.9	4.5	0	-44.0818	169.4317	1708	-44.0838	169.4305	1655	2390	1956	241	53	225	1.81	0.53	3.41	15	35	20190328	20190107	0.008251555	0	0.178460886	1.822026299	0.574264158	4.96487524	0.191684779	36.18690333	NA	64181965.8	2.94E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL13_Up	GL13	New_Zealand	0.7	6.76	11.6	98.1	411.6	9.3	4.9	0	-44.0818	169.4317	1708	-44.0819	169.4317	1699	2390	1956	18	9	225	1.81	0.57	3.2	15	35	20190328	20190107	0.017231667	0.269350667	0.207538286	1.966362224	0.66231858	4.515394158	0.389936037	44.54615167	NA	69827257.9	2.20E-04	0.916	0.621333333	0.544	2.567666667	2.798	0.009666667	0.007666667	0.007666667	1.298333333	1.958453	0.971279667	0.356869	0.122297667	0.062066667	0.046981667	0.004442667	73.56666667	NA	NA	NA	NA	NA	NA	6.8	2.9	9.6	NA	-55.3737	-8.78726
GL13_UpB	GL13	New_Zealand	0.7	6.76	11.6	98.1	411.6	9.3	4.9	0	-44.0818	169.4317	1708	-44.0819	169.4317	1699	2390	1956	18	9	225	1.81	0.57	3.2	15	35	20190328	20190107	0.017231667	0.269350667	0.207538286	1.966362224	0.66231858	4.515394158	0.389936037	44.54615167	NA	69827257.9	2.20E-04	0.916	0.621333333	0.544	2.567666667	2.798	0.009666667	0.007666667	0.007666667	1.298333333	1.958453	0.971279667	0.356869	0.122297667	0.062066667	0.046981667	0.004442667	73.56666667	NA	NA	NA	NA	NA	NA	6.8	2.9	9.6	NA	-55.3737	-8.78726
GL140_4	GL140	Uganda	0.8	6.5	8.37	102.8	NA	9.7	6.1	0	0.3757	29.8781	4742	0.3755	29.8788	4722	4826	4781	86	20	90	0.03	0.91	0.04	NA	NA	20190128	20190128	1.634289444	NA	9.048456001	130.4020333	221.5231644	23.48137033	44.60754889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.613	0.21	0.5355	1.678	0.1265	1.405	0.75	14.78	167.79	1.94	NA	NA
GL140_5	GL140	Uganda	0.8	6.5	8.37	102.8	NA	9.7	6.1	0	0.3757	29.8781	4742	0.3755	29.8788	4722	4826	4781	86	20	90	0.03	0.91	0.04	NA	NA	20190128	20190128	1.634289444	NA	9.048456001	130.4020333	221.5231644	23.48137033	44.60754889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.613	0.21	0.5355	1.678	0.1265	1.405	0.75	14.78	167.79	1.94	NA	NA
GL140_6	GL140	Uganda	0.8	6.5	8.37	102.8	NA	9.7	6.1	0	0.3757	29.8781	4742	0.3755	29.8788	4722	4826	4781	86	20	90	0.03	0.91	0.04	NA	NA	20190128	20190128	1.634289444	NA	9.048456001	130.4020333	221.5231644	23.48137033	44.60754889	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.613	0.21	0.5355	1.678	0.1265	1.405	0.75	14.78	167.79	1.94	NA	NA
GL140_1	GL140	Uganda	0.4	6.944	8.15	98.8	NA	10.4	8.42	1	0.3757	29.8781	4742	0.3758	29.8785	4724	4826	4781	43	18	90	0.03	0.91	0.04	NA	NA	20190128	20190128	0.381971445	NA	2.623058222	25.08109	63.09419301	6.784686333	3.577829778	40.32190333	NA	NA	NA	2.292666667	1.499	0.214	2.768333333	3.354333333	0.010666667	0.009666667	0.008	1.117666667	0.661817333	1.156802667	2.356573	0.032682667	0.065125667	0.044229333	0.033417333	474	0.578	0.225	0.5395	1.726	0.085	1.517	0.95	9.45	176.61	2.88	NA	NA
GL140_2	GL140	Uganda	0.4	6.944	8.15	98.8	NA	10.4	8.42	1	0.3757	29.8781	4742	0.3758	29.8785	4724	4826	4781	43	18	90	0.03	0.91	0.04	NA	NA	20190128	20190128	0.381971445	NA	2.623058222	25.08109	63.09419301	6.784686333	3.577829778	40.32190333	NA	NA	NA	2.292666667	1.499	0.214	2.768333333	3.354333333	0.010666667	0.009666667	0.008	1.117666667	0.661817333	1.156802667	2.356573	0.032682667	0.065125667	0.044229333	0.033417333	474	0.578	0.225	0.5395	1.726	0.085	1.517	0.95	9.45	176.61	2.88	NA	NA
GL140_3	GL140	Uganda	0.4	6.944	8.15	98.8	NA	10.4	8.42	1	0.3757	29.8781	4742	0.3758	29.8785	4724	4826	4781	43	18	90	0.03	0.91	0.04	NA	NA	20190128	20190128	0.381971445	NA	2.623058222	25.08109	63.09419301	6.784686333	3.577829778	40.32190333	NA	NA	NA	2.292666667	1.499	0.214	2.768333333	3.354333333	0.010666667	0.009666667	0.008	1.117666667	0.661817333	1.156802667	2.356573	0.032682667	0.065125667	0.044229333	0.033417333	474	0.578	0.225	0.5395	1.726	0.085	1.517	0.95	9.45	176.61	2.88	NA	NA
GL14_Down	GL14	New_Zealand	4.9	6.23	11.4	100.1	428.9	4.5	0	0	-44.7543	167.9833	1338	-44.7571	167.9865	1071	1991	1792	402	267	135	0.3	0.26	1.15	NA	NA	20190328	20181231	0.071120667	0.433130333	0.358850588	3.031825119	0.346977176	1.877420559	0.311487779	57.86798833	NA	44215539.23	9.32E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL14_Up	GL14	New_Zealand	3.4	6.41	11.8	100.2	401.3	4.5	0	0	-44.7543	167.9833	1338	-44.7565	167.9857	1096	1991	1792	309	242	135	0.3	0.32	0.93	NA	NA	20190328	20181231	0.149955333	1.588304	0.404227503	5.200010901	0.711651578	2.683187236	0.378842661	41.86022	NA	57520858.6	1.14E-04	0.573666667	0.343333333	0.224666667	3.802666667	3.139666667	0.012666667	0.012	0.011666667	1.093666667	0.526567667	1.007903667	1.255965667	0.010823667	0.015214667	0.007645333	0.007103	108.7666667	NA	NA	NA	NA	NA	NA	5.8	25.4	8.2	NA	-48.7501	-8.0227
GL15_Down	GL15	New_Zealand	1.6	6.6	12	99.1	429.3	10.5	1.2	0	-44.6121	168.0221	1316	-44.6121	168.0214	1259	2716	1987	57	57	225	1.6	0.65	2.46	NA	NA	20190328	20190219	0.035723778	NA	0.049454939	1.056032332	0.381806341	1.016369447	0.161057549	NA	NA	9696223.133	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL15_Up	GL15	New_Zealand	1.4	6.47	11.9	98.4	410.7	10.4	0.8	0	-44.6121	168.0221	1316	-44.6121	168.0218	1288	2716	1987	27	28	225	1.6	0.65	2.46	NA	NA	20190328	20190219	0.003274889	0	0.031170216	0.624768824	0.296752116	1.099943619	0.054278475	49.78877333	NA	8985885.81	NA	0.57	0.352666667	0.323	3.425	6.782	0.011666667	0.011666667	0.011333333	1.035666667	0.451441667	0.919235667	0.803386	0.006232333	0.009441	0.004361	0.003922333	82.1	NA	NA	NA	NA	NA	NA	9.1	24.5	37.7	NA	-60.3025	-9.44674
GL16_Down	GL16	New_Zealand	4.9	7.8	11	99.9	424.6	97.5	0.4	0	-43.7869	170.0587	1926	-43.7946	170.0674	1206	2320	2133	1164	720	135	0.15	0.07	1.95	NA	NA	20190201	20190201	0.046553889	0	0.199686872	2.716430508	0.860418852	15.2706195	1.061285518	58.20326333	NA	13088743.59	3.53E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL16_UP	GL16	New_Zealand	5.7	7.82	10.6	99	438.8	95.8	0.7	0	-43.7869	170.0587	1926	-43.794	170.0643	1320	2320	2133	907	606	135	0.15	0.1	1.44	NA	NA	20190201	20190201	0.057748556	0	0.191173971	2.033345458	0.670091347	12.62623098	0.38223431	98.78909167	NA	20628334.76	9.27E-05	2.121	1.8405	0.8355	1.765	1.298	0.0065	0.004	0.003	1.494	0.629205667	0.831201	0.914335	0.014116	0.014552333	0.006698	0.005841333	127.9	NA	NA	NA	NA	NA	NA	5.5	20.2	17.3	NA	-67.9697	-10.1381
GL17_Down	GL17	New_Zealand	6.9	7.6	10.4	97	435.7	26	16.7	0	-43.6853	170.0768	1628	-43.6936	170.0849	1006	2293	1948	1145	622	135	0.49	0.43	1.13	NA	60	20190201	20190201	0.002238	0	0.055934107	0.525938172	0.174824143	2.24744441	0.061212919	110.1082167	NA	5802655.417	3.04E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL17_Up	GL17	New_Zealand	5.9	7.47	10.7	99.9	430.7	21.2	23	0	-43.6853	170.0768	1628	-43.6891	170.0822	1236	2293	1948	598	392	135	0.47	0.6	0.78	NA	60	20190201	20190201	0.002663889	0	0.04220549	0.635354551	0.148088085	1.866304331	0.035900598	87.470645	NA	6281695.903	1.01E-04	2.702	1.794	1.287666667	2.690666667	2.635666667	0.009666667	0.008	0.008	1.209333333	1.293301	1.473486	0.326983667	0.030759667	0.017587	0.008664667	0.005414333	90.66666667	NA	NA	NA	NA	NA	NA	5.6	23.8	8.5	NA	-53.035	-8.58547
GL22_DN	GL22	Alps	4.7	8.93	10	102.1	NA	163	140.3	0	45.916	7.2673	2459	45.9208	7.257	2387	3722	3143	973	72	45	1.97	0.24	8.12	NA	120	2019	2019	0.015454556	3.392053333	0.045781051	2.731607609	0.482218796	14.79038484	0.240060977	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.28	38.94	199.48	1.57	NA	NA
GL22_UP	GL22	Alps	0.2	9.24	10.7	96	NA	120.3	235.3	0	45.916	7.2673	2459	45.9166	7.2669	2441	3722	3143	76	18	45	1.97	0.43	4.58	NA	120	2019	2019	0.002606845	2.988920667	0.006042484	0.572694232	0.020121403	4.434816537	0.007318889	NA	NA	NA	6.94E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	201.1	1.094925	1.17069	2.26644	15.74157	1.34423	30.10875	2.04	51.06	215.49	2.61	-102.688	-14.5062
GL24_DN	GL24	Alps	1.9	8.45	10.5	100.5	72.6	77	93.7	0	46.0014	7.6508	2322	46.003	7.6573	2247	4012	3019	536	75	45	14.58	0.53	27.29	NA	61	2017	2017	0.028085667	2.668629667	0.046932026	0.615045273	0.168421414	5.756735406	0.044608676	NA	NA	23566668.83	3.91E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.498975	0.484575	0.72057	9.83118	0.13843	13.79378	0.99	17.92	170.71	1.4	-111.627	-15.3831
GL24_UP	GL24	Alps	0	8.83	10.8	98.6	20.4	75	104.3	0	46.0014	7.6508	2322	46.0016	7.6511	2317	4012	3023	31	5	45	14.15	0.54	26.02	NA	61	2017	2017	0.013446778	0.584107333	0.004905649	0.156848438	0.008471532	2.348510706	0.004207395	NA	NA	11376617.55	2.54E-05	4.493	3.014333333	1.321	2.709666667	4.583666667	0.01	0.009	0.008	1.086666667	1.222210667	1.674949667	0.694976667	0.021384667	0.024120333	0.014292333	0.009405	147.6666667	1.064114	0.747735	0.721206	NA	NA	NA	1.64	16.55	186.4	2.08	-112.981	-15.5605
GL26_DN	GL26	Alps	3.4	6	9.3	99.2	226.4	72.9	13.8	0	46.0295	7.8546	2995	46.0318	7.8495	2876	3989	3501	471	119	315	0.86	0.64	1.34	NA	NA	2017	2017	0.362039555	NA	0.340187311	4.07310276	2.386274152	56.52744329	0.740473536	36.983095	NA	170313639.3	1.05E-04	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.33707	2.12985	1.07866	7.93888	0.13358	7.37443	0.89	7.27	196.68	1.68	-129.31	-17.2991
GL26_UP	GL26	Alps	0.7	7	10	99.7	222.7	65.2	18	0	46.0295	7.8546	2995	46.031	7.8515	2916	3989	3501	288	79	315	0.86	0.72	1.19	NA	NA	2017	2017	0.097993889	2.355457667	0.259818398	3.076565082	0.51940023	18.45252071	2.452577164	48.53200833	NA	60536156.64	6.64E-05	1.443666667	1.02	0.297	2.476333333	-239.817	0.008	0.010333333	0.008	0.814333333	0.908027	1.385345667	1.821468	0.009502	0.021577	0.012205	0.009637	244.6666667	NA	NA	NA	NA	NA	NA	0.53	6.44	243.68	1.12	-129.988	-17.4408
GL27_DN	GL27	Alps	3.1	5	10.4	100	247.7	74.6	1048	0	45.9891	7.4967	2311	46.0006	7.4921	2112	3660	3126	1330	199	45	10.4	0.4	25.92	NA	122	2019	2019	0.008435	1.802097667	0.025946258	0.908719852	0.041056701	3.276048506	0.009360316	51.3684025	NA	12014546.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.89867	0.63946	0.99537	8.59474	0.19998	17.13557	5.44	6.26	174.55	1.61	-111.227	-15.0267
GL27_UP	GL27	Alps	0.3	NA	10.9	99.5	231.1	53.7	90.6	0	45.9891	7.4967	2311	45.9901	7.496	2265	3660	3126	125	46	45	4.77	0.78	6.08	NA	122	2019	2019	0.008846222	1.354799	0.030755338	0.703318751	0.12533698	1.60282705	0.056337835	30.64803167	NA	9220494.624	1.94E-05	10.65733333	7.999	1.864666667	2.238666667	3.005333333	0.007333333	0.007666667	0.007	0.959666667	1.226150333	1.432607333	0.678271	0.045507333	0.040227667	0.027329333	0.018842667	260.6666667	NA	NA	NA	NA	NA	NA	3.27	12.34	194.66	2.02	-115.734	-15.8734
GL28_DN	GL28	Alps	2.1	6	10.6	99.6	262.1	160.2	72.8	0	46.0154	7.4687	2295	46.0188	7.4736	2148	3791	3189	537	147	45	2.77	0.58	4.76	NA	125	2019	2019	0.011560778	0.783639	0.027944261	0.461464306	0.074546988	3.429842919	0.01342015	NA	NA	12163901.35	3.07E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.04035	0.665375	2.22315	18.62112	0.26366	46.98159	1.65	9.15	184.7	0.78	-114.311	-15.6483
GL28_UP	GL28	Alps	0	6	10.8	98.5	120.5	173	79.2	0	46.0154	7.4687	2295	46.016	7.4692	2277	3791	3189	76	18	45	2.77	0.6	4.62	NA	125	2019	2019	0.001233889	0.649332667	0.008046627	0.14234722	0.017515046	2.440233116	2.49E-05	15.68798117	NA	5144009.853	1.43E-05	0.731	0.300666667	0.226	-7.587	0.281333333	0.023333333	0.219666667	0.088666667	0.273	0.805088667	1.333305333	3.242746667	0.007757667	0.024399333	0.014144	0.012022333	140.6666667	1.57343	1.34627	4.17632	15.43354	1.90348	46.3324	2.41	8.08	212.11	0.51	-115.386	-15.7943
GL29_DN	GL29	Alps	1.7	6	11	100.3	230.2	44.5	131.7	0	46.0393	7.5503	2096	46.0437	7.5535	1977	3735	3152	547	119	0	10.48	0.62	16.95	NA	55	2019	2019	0.007212778	3.327145	0.016864885	0.201350958	0.029031457	0.680693723	0.001244538	NA	NA	9117281.47	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.55398	0.44648	0.43325	5.25219	0.14239	9.41218	1.94	10.87	142.78	0.57	-113.5	-15.4197
GL29_UP	GL29	Alps	0.6	6	11.2	99.6	173.1	47.7	132.7	0	46.0393	7.5503	2096	46.0396	7.5505	2085	3735	3152	35	11	0	10.48	0.64	16.49	NA	55	2019	2019	0.001007	1.680924667	0.009519795	0.107520434	0.025658455	1.433920213	0.010553254	28.093945	NA	6788381.367	NA	6.326	4.248333333	1.324666667	2.722666667	6.524333333	0.009666667	0.008333333	0.008333333	1.109666667	0.851582667	1.352506667	1.236451	0.025076667	0.045733	0.02641	0.022051667	207.3333333	NA	NA	NA	NA	NA	NA	2.47	9.44	166.74	1.07	-111.517	-15.2197
GL30_DN	GL30	Alps	2.8	6.56	9.4	98.3	197.2	189	8.8	0	46.1446	7.9966	3131	46.1449	7.9921	2983	3498	3324	345	148	270	0.33	0.63	0.53	NA	NA	2019	2019	0.007628	NA	0.062311594	2.64289109	0.447544493	2.750915791	0.150446395	4.902727333	NA	35845055.63	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.30735	0.369145	8.441055	17.14854	0.118965	81.5008	NA	48.16	166.15	0.97	-110.255	-15.3658
GL30_UP	GL30	Alps	4.8	6	10	98.8	NA	207	11	0	46.1446	7.9966	3131	46.1446	7.9939	3081	3498	3324	205	50	270	0.33	0.64	0.52	NA	NA	2019	2019	0.009323111	2.850045667	0.068781478	2.005323849	0.313980114	2.252375677	0.137936532	60.1347875	NA	24930588.93	NA	0.39	0.328333333	0.106333333	1.625333333	3.272666667	0.006	0.012666667	0.003333333	0.474	1.211312667	1.39378	0.614365667	0.024615667	0.023310333	0.014392	0.008527667	159.3333333	1.31635	9.35451	2.43465	19.67246	8.69749	53.50479	NA	56.56	167.52	0.55	-110.082	-15.364
GL32_Down	GL32	Greenland	6.3	6.5	11.6	99.7	294.7	5.9	7.4	0	64.1382	-51.1769	615	64.1395	-51.1732	550	926	740	234	65	45	0.16	0.16	0.96	NA	NA	20190829	20190829	0.016649556	2.511825667	0.085530073	1.168041736	0.480595931	1.435022989	0.180286373	19.37842633	NA	18358425.5	2.12E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.04	12.32	0.54	0.73	NA	NA
GL32_UP	GL32	Greenland	0.1	5.91	13.5	99.7	439.5	3.1	48.7	0	64.1382	-51.1769	615	64.1383	-51.1768	613	926	740	15	2	45	0.16	0.18	0.86	NA	NA	20190829	20190829	0.019867667	0.801858667	0.068326084	1.41778104	0.869763942	0.907536623	0.16913251	42.25832	NA	4323083.673	NA	5.788333333	4.235333333	1.984333333	2.146	3.067	0.007666667	0.007	0.006333333	1.129	1.699176	1.561388667	0.499811	0.191391667	0.121859667	0.086737	0.010516	127.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-117.18	-16.1589
GL34_DN	GL34	Greenland	2.6	7.11	12.8	99.9	448.1	7.4	105.3	0	64.1512	-51.2184	563	64.1479	-51.1958	473	1338	838	1174	90	45	1.54	0.25	6.27	NA	NA	20190829	20190829	0.008058333	0.409291333	0.006517211	0.25015204	0.046980403	0.229770797	0.009032042	10.62351167	NA	1221420.648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8.6	8.18	6.44	2.5	NA	NA
GL34_UP	GL34	Greenland	0.3	6.59	13.6	99.9	400.3	6.3	120.3	0	64.1512	-51.2184	563	64.1514	-51.2181	557	1338	838	23	6	45	1.49	0.69	2.15	NA	NA	20190829	20190829	0.004685778	0.87926	0.006580677	0.147377672	0.128578734	0.817704541	0.022461522	8.630300167	NA	1164633.597	NA	12.43833333	11.079	4.675333333	1.485	2.304	0.003333333	0.005333333	0.004333333	0.601	2.121338	1.846872	0.405757333	0.123735	0.072138	0.060760333	0.013271	116.7666667	0.638232	1.155472	0.071126	0.286322	1.143156	0.30246	NA	NA	NA	NA	-119.552	-16.66
GL35_DN	GL35	Greenland	2.8	5.74	NA	NA	428.2	2.7	67.5	0	64.166	-51.0694	757	64.1626	-51.059	547	1277	970	633	210	45	1	0.6	1.66	NA	NA	20190829	20190829	0.014642889	0.752865333	0.036223754	1.141940438	0.151096042	0.73229651	0.03092826	32.74146333	NA	1982518.943	2.86E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5.2	10.53	4.23	1.74	NA	NA
GL36_DN	GL36	Greenland	9.2	6.01	11	99.9	388.6	6.4	18.8	0	64.1203	-51.4749	540	64.1262	-51.4901	388	757	628	1027	152	315	0.63	0.33	1.92	NA	NA	20190829	20190829	0.053249	2.710917333	0.125188425	2.119940565	0.609850106	3.350128492	0.416891158	32.45059333	NA	2641409.697	2.68E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9.5	8.85	2.02	2.37	NA	NA
GL36_UP	GL36	Greenland	7.3	6.06	12.2	107.4	409.9	5.2	20.5	0	64.1203	-51.4749	540	64.1211	-51.4805	523	757	628	286	17	315	0.61	0.47	1.3	NA	NA	20190829	20190829	0.035108	2.201665	0.152758779	2.040100514	0.67886681	1.772134905	0.250650228	33.944885	NA	2719847.21	3.65E-05	6.74	5.182666667	2.346333333	2.098	3.467	0.006	0.008	0.007	0.804666667	1.255100667	1.695921333	0.472118	0.030177	0.022740333	0.013227	0.007476	124.9	NA	NA	NA	NA	2.54766	0.496672	4.84	7.55	2.76	1.12	-101.22	-14.2564
GL42_DN	GL42	Caucasus	3.8	7.79	10.4	100	302.5	69.9	52	0	43.0925	43.1693	2668	43.1122	43.1494	2121	5157	3710	2737	547	0	16.41	0.36	45.68	NA	19	20190729	20190729	0.007463444	NA	0.04196946	0.21388012	0.032998144	0.464124067	0.024763507	39.47601667	NA	2425135.667	5.00E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL43_DN	GL43	Caucasus	0.6	7.75	11.5	100.9	367	96	NA	0	43.105	43.1319	2205	43.1172	43.1493	2037	5083	3551	1993	168	45	42.13	0.42	100.78	15	38	20190729	20190729	6.92E-04	NA	0.002298474	0.020165188	0.0086562	0.102745523	0.104589292	86.02390667	NA	1796996.47	1.31E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GL44_Down	GL44	Caucasus	3	8	9.9	99.7	274.2	126.7	10.5	0	43.0915	43.2011	3531	43.0941	43.1733	2660	4566	3912	2297	871	315	1.06	0.2	5.25	NA	NA	20190729	20190729	0.296749667	NA	0.467079118	6.050205773	2.648001858	30.14294042	0.932502155	22.1987	NA	112286813.5	7.80E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.06	10.1	587.49	0.09	NA	NA
GL44_UP	GL44	Caucasus	0.2	8.14	9.5	98.7	206.1	154.4	37.8	0	43.0915	43.2011	3531	43.0924	43.199	3481	4566	3895	197	50	315	0.96	0.42	2.26	NA	NA	20190729	20190729	0.005900889	0.223949333	0.009152176	0.218516826	0.033407268	0.89638622	0.013091128	24.45110583	NA	3199204.483	1.24E-05	2.736	1.834666667	0.340333333	2.847666667	5.565666667	0.009333333	0.008333333	0.008333333	1.14	0.852088	1.404899667	1.59545	0.052655333	0.059093667	0.040285667	0.030639333	352.6666667	1.78903	1.64509	2.029945	18.69214	1.12403	35.15068	NA	NA	NA	NA	-69.5917	-10.6086
GL45_Down	GL45	Caucasus	4.7	8	9.1	99.5	221.3	123.1	12.5	0	43.0734	43.1787	3215	43.0751	43.1714	2924	4291	3725	645	291	270	0.31	0.25	1.25	NA	NA	20190729	20190729	0.059424444	3.350036	0.073525922	3.53576778	0.400969232	6.193043031	0.191689742	115.0448417	NA	33176438.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4.66	550.74	1.21	NA	NA
GL45_UP	GL45	Caucasus	0.6	8.02	10.1	100.9	232.3	135.7	5.7	0	43.0734	43.1787	3215	43.0752	43.1743	3027	4291	3725	415	188	270	0.31	0.26	1.22	NA	NA	20190729	20190729	0.010453889	2.090306333	0.012312192	0.217193022	0.088985344	1.870674856	0.032394692	76.56178333	NA	7636790.48	2.21E-05	1.836666667	1.090666667	0.337	3.267666667	71.97133333	0.011333333	0.008333333	0.009	1.413333333	0.823161	1.351602333	2.1903	0.043118333	0.045331333	0.028215	0.022089333	239.1	1.55938	1.332195	2.298975	14.44164	0.90888	31.26529	1.27	5.28	531.01	0.47	-74.2318	-11.2374
