protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GL82_UP_concoct_14_383_2	486	S1_8	443	1.4e-132	434.8	1	426	25	474	95.9	1	high	3.10.1.1 3.1.6.- 	
GL51_DN_concoct_123_1020_3	476	S1_53	474	5.4e-125	410.3	2	467	2	461	98.1	1	high		
GL140_2_concoct_166_117_1	729	S1_8	443	2.5e-48	157.2	10	330	341	681	72.2	1	probable fragment		
GL28_DN_concoct_192_795_1	343	S1_25	440	7.1e-120	393.3	112	435	4	325	73.4	1	high	3.1.6.- 	
GFS_5770_145_1	248	S1_8	443	5.7e-60	195.5	1	235	26	248	52.8	1	probable fragment		
GFS_4088_6_17	696	S1_53	474	2.7e-34	111.3	268	451	499	674	38.6	1	probable fragment		
GL94_UP_concoct_254_53_3	445	S1_46	459	3.2e-83	272.2	2	431	18	432	93.5	1	low		
GFS_14214_683_2	467	S1_61	451	6.7e-72	235.0	1	430	10	414	95.1	1	low		
GFS_10914_216_4	725	S1_8	443	6.8e-51	165.6	3	335	24	357	74.9	1	probable fragment		
GFS_3114_786_5	507	S1_8	443	1.1e-114	375.9	2	390	27	442	87.6	1	high	3.10.1.1 3.1.6.- 	
GFS_4681_1179_3	974	S1_8	443	3e-37	120.7	4	311	260	555	69.3	1	probable fragment		
GL82_DN_concoct_89_sub_1194_2	707	S1_16	444	1.8e-37	121.3	160	416	434	676	57.7	1	probable fragment		
GL72_UP_concoct_308_sub_813_2	454	S1_19	430	2.6e-164	539.2	1	419	21	445	97.2	1	high	3.1.6.- 	
GL117_UP_metabat_70_293_48	321	S1_25	440	3.8e-95	311.8	129	434	14	318	69.3	1	high	3.1.6.- 	
GFS_5689_500_2	442	S1_8	443	8.6e-104	340.0	2	340	30	376	76.3	1	high	3.10.1.1 3.1.6.- 	
GL30_UP_concoct_80_432_2	773	S1_46	459	4.1e-47	153.2	171	431	463	714	56.6	1	probable fragment		
GL72_UP_concoct_191_167_4	590	S1_8	443	3.3e-18	128.6	19	331	2	314	70.4	1	probable fragment		fusion of 2 fragments from 190 to 314 score 57.9 fragment 2 from 2 to 159 score 70.7
GFS_4964_508_1	206	S1_12	481	1.2e-45	148.6	2	201	4	203	41.4	1	probable fragment		
GL73_DN_concoct_131_1046_12	637	S1_16	444	2.8e-133	437.0	2	440	37	460	98.6	1	high		
GFS_5823_417_11	736	S1_4	536	1.1e-167	551.3	2	518	38	556	96.3	1	high	3.1.6.1 	
GFS_5274_21_6	590	S1_16	444	1e-154	507.7	2	437	21	455	98.0	1	high		
GFS_6987_632_12	466	S1_23	422	1.5e-148	487.6	3	416	35	457	97.9	1	high		
GL72_UP_concoct_191_774_1	361	S1_8	443	2.9e-25	163.7	6	330	39	361	73.1	1	probable fragment		fusion of 2 fragments from 213 to 361 score 81.2 fragment 2 from 39 to 207 score 82.5
GL51_Up_metabinner_2_40_4	523	S1_7	456	2.9e-170	559.4	1	449	22	518	98.2	1	high	3.1.6.13 3.1.6.- 	
GL93_DN_concoct_26_58_6	740	S1_32	423	5.6e-116	379.9	4	410	27	477	96.0	1	high		
GFS_5495_484_2	823	S1_7	456	1.3e-107	352.8	3	450	34	493	98.0	1	high	3.1.6.13 3.1.6.- 	
GFS_3356_83_9	388	S1_16	444	2.1e-143	470.4	78	437	6	382	80.9	1	high		
GFS_1495_574_4	466	S1_53	474	4.7e-32	103.9	270	440	277	436	35.9	1	probable fragment		
GL132_DN_metabinner_20_161_1	567	S1_7	456	1e-50	224.9	82	446	5	463	79.8	1	probable fragment		fusion of 2 fragments from 232 to 463 score 165.3 fragment 2 from 5 to 143 score 59.6
GL124_DN_metabinner_32_sub_151_2	639	S1_16	444	6.1e-138	452.4	3	327	35	366	73.0	1	high		
GFS_4933_67_13	538	S1_25	440	2.2e-162	533.4	2	430	86	532	97.3	1	high	3.1.6.- 	
GFS_8262_22_11	611	S1_8	443	9.2e-37	119.1	2	323	195	551	72.5	1	probable fragment		
GL72_UP_concoct_2_409_1	324	S1_32	423	4.4e-93	304.5	113	408	4	291	69.7	1	high		
GL140_5_concoct_333_sub_57_1	307	S1_7	456	9.2e-96	313.8	157	448	3	283	63.8	1	high	3.1.6.13 3.1.6.- 	
GL97_UP_metabat_24_sub_155_2	475	S1_6	469	4.4e-152	499.7	2	456	28	470	96.8	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL93_UP_metabat_23_174_6	512	S1_7	456	9.1e-140	458.8	3	447	34	505	97.4	1	high	3.1.6.13 3.1.6.- 	
GFS_3651_81_1	384	S1_16	444	1.1e-114	375.7	2	338	43	384	75.7	1	high		
GL127_UP_concoct_103_793_2	433	S1_21	416	1.3e-173	569.9	2	415	18	430	99.3	1	high		
GL119_DN_concoct_221_sub_1462_2	424	S1_32	423	3.1e-143	469.7	2	403	18	414	94.8	1	high		
GFS_9360_14_5	545	S1_4	536	2.3e-177	583.2	1	517	35	538	96.3	1	high	3.1.6.1 	
GFS_4334_659_1	712	S1_8	443	2.6e-45	147.3	4	335	37	374	74.7	1	probable fragment		
GFS_3657_32_3	557	S1_6	469	6.2e-146	479.4	2	459	47	550	97.4	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_9690_50_38	584	S1_6	469	7.2e-135	443.0	3	457	129	576	96.8	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_4138_401_1	414	S1_9	433	3.8e-31	100.4	225	416	208	393	44.1	1	probable fragment		
GFS_11904_386_2	747	S1_16	444	2.6e-129	424.0	3	423	46	469	94.6	1	high		
GL72_UP_concoct_117_13_1	611	S1_16	444	7.6e-149	488.4	2	440	22	440	98.6	1	high		
GFS_14252_1053_11	844	S1_8	443	1e-36	118.9	5	308	143	434	68.4	1	probable fragment		
GL68_DN_metabinner_6_185_6	557	S1_4	536	3.7e-163	536.3	2	516	24	542	95.9	1	high	3.1.6.1 	
GFS_9863_533_12	561	S1_27	454	1.9e-80	263.4	2	443	135	551	97.1	1	low		
GFS_4118_668_8	632	S1_8	443	8.7e-118	386.1	2	432	23	462	97.1	1	high	3.10.1.1 3.1.6.- 	
GL85_DN_metabinner_2_141_45	560	S1_17	425	8.9e-179	587.0	2	420	32	450	98.4	1	high	3.1.6.- 	
GL117_UP_metabat_119_236_2	453	S1_32	423	8.4e-136	445.2	2	408	25	415	96.0	1	high		
GL30_UP_concoct_80_192_10	1031	S1_8	443	3.5e-53	173.2	5	292	572	905	64.8	1	probable fragment		
GFS_8640_845_6	599	S1_8	443	5.6e-39	126.4	2	334	256	589	74.9	1	probable fragment		
GFS_6979_65_4	684	S1_8	443	4.9e-59	192.5	2	314	52	353	70.4	1	probable fragment		
GFS_12324_208_3	458	S1_11	498	1.7e-97	617.7	17	482	1	456	93.4	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 228 to 456 score 319.7 fragment 2 from 1 to 224 score 298.0
GFS_2055_896_2	162	S1_32	423	7.4e-38	122.5	266	408	2	140	33.6	1	probable fragment		
GFS_5321_198_1	440	S1_27	454	1.2e-71	234.4	2	447	23	432	98.0	1	low		
GFS_5800_6_1	680	S1_4	536	5.5e-190	624.9	2	514	24	567	95.5	1	high	3.1.6.1 	
GFS_2361_205_4	505	S1_14	426	2.9e-158	519.4	2	422	29	474	98.6	1	high		
GFS_12867_254_33	425	S1_16	444	1.5e-72	237.0	229	431	2	198	45.5	1	probable fragment		
GFS_13507_376_5	841	S1_7	456	1.3e-57	333.9	2	441	24	557	96.3	1	high	3.1.6.13 3.1.6.- 	fusion of 2 fragments from 335 to 557 score 188.0 fragment 2 from 24 to 256 score 145.9
GFS_3114_700_22	494	S1_37	447	1.8e-73	367.7	2	438	29	492	97.5	1	several good hits		 good hit with these HMMs: S1_37(367.7);S1_12(353.7);S1_46(353.5);S1_73(332.0);S1_53(326.5);S1_7(322.0);S1_52(301.1)
GL127_UP_concoct_103_360_4	480	S1_16	444	5.3e-138	452.6	3	429	25	478	95.9	1	high		
GL140_5_metabinner_6_8_23	680	S1_8	443	6.6e-56	182.2	2	332	43	387	74.5	1	probable fragment		
GL97_UP_metabat_16_97_18	709	S1_53	474	1.4e-31	102.3	273	449	514	691	37.1	1	probable fragment		another fragment from 508 to 687 score 89.4
GL26_UP_concoct_141_101_1	644	S1_8	443	6.2e-55	178.9	2	344	17	356	77.2	1	probable fragment		
336R_concoct_189_sub_492_9	771	S1_4	536	7.7e-208	683.8	2	518	40	574	96.3	1	high	3.1.6.1 	
GL117_UP_metabat_119_397_2	354	S1_19	430	5.6e-139	455.8	2	322	25	347	74.4	1	high	3.1.6.- 	
336R_concoct_315_987_4	438	S1_12	481	2.9e-89	292.5	2	403	16	409	83.4	1	low		
GFS_3114_266_9	234	S1_16	444	2.5e-70	229.6	245	439	26	221	43.7	1	probable fragment		
GFS_6474_142_2	625	S1_36	438	3.5e-36	117.3	264	430	4	179	37.9	1	probable fragment		
339R_concoct_84_sub_43_1	242	S1_7	456	2.4e-38	124.5	251	450	21	225	43.6	1	probable fragment		
GL53_Up_metabinner_1_753_7	492	S1_20	444	7e-184	604.1	2	439	24	478	98.4	1	high		
GL56_Down_metabat_34_12_2	626	S1_12	481	2.8e-31	101.3	256	435	430	614	37.2	1	probable fragment		
GL117_DN_concoct_40_60_5	510	S1_56	526	1.3e-225	742.3	17	525	1	508	96.6	1	high		
GL93_UP_concoct_250_248_1	445	S1_27	454	7.4e-122	399.9	2	444	23	434	97.4	1	high	3.1.6.12 3.1.6.- 	
GFS_1161_205_4	382	S1_20	444	9.3e-107	349.9	36	424	1	377	87.4	1	high		
GFS_5689_349_34	1252	S1_15	471	3.8e-166	545.9	2	468	44	520	98.9	1	high	3.1.6.4 	
GL117_UP_metabat_119_69_18	441	S1_24	410	1.2e-124	408.8	2	405	30	427	98.3	1	high		
GL51_DN_metabinner_8_273_1	393	S1_8	443	6.5e-78	254.7	75	423	28	387	78.6	1	probable fragment		
GFS_8640_867_5	671	S1_8	443	2.6e-18	136.4	7	307	2	309	67.7	1	probable fragment		fusion of 2 fragments from 187 to 309 score 58.2 fragment 2 from 2 to 175 score 78.2
GL49_Down_concoct_154_134_1	430	S1_28	445	3.7e-158	519.3	2	391	26	418	87.4	1	high		
GL124_DN_concoct_31_sub_426_4	1368	S1_19	430	7.3e-151	494.9	2	418	32	460	96.7	1	high	3.1.6.- 	
GL32_Down_metabat_118_243_2	753	S1_4	536	5.8e-215	707.3	2	519	31	570	96.5	1	high	3.1.6.1 	
GL93_DN_concoct_26_58_5	701	S1_29	405	5e-124	406.7	2	400	18	438	98.3	1	high		
GFS_13437_615_4	488	S1_64	483	2.3e-76	250.3	1	374	3	420	77.2	1	probable fragment		
GL106_DN_concoct_178_172_13	537	S1_7	456	3.7e-170	559.0	2	446	36	526	97.4	1	high	3.1.6.13 3.1.6.- 	
GFS_1677_107_13	461	S1_20	444	4.7e-172	565.1	3	437	27	459	97.7	1	high		
GL139_UP_metabinner_22_sub_720_1	660	S1_7	456	4.7e-34	110.4	222	445	429	649	48.9	1	probable fragment		
GFS_2111_359_2	705	S1_8	443	8.1e-38	122.6	3	323	37	363	72.2	1	probable fragment		
GL75_DN_concoct_31_934_2	467	S1_7	456	5.5e-155	509.0	2	448	24	455	97.8	1	high	3.1.6.13 3.1.6.- 	
GFS_7207_900_2	456	S1_19	430	9.2e-172	563.8	2	411	28	439	95.1	1	high	3.1.6.- 	
336R_metabinner_76_sub_13_7	460	S1_52	473	6.1e-31	100.2	261	446	251	426	39.1	1	probable fragment		
GFS_6871_377_2	499	S1_52	473	6.2e-90	294.7	3	468	31	477	98.3	1	low		
GL82_DN_metabat_42_sub_428_3	766	S1_4	536	2.6e-220	724.9	2	520	37	576	96.6	1	high	3.1.6.1 	
GL75_DN_concoct_31_587_1	220	S1_15	471	1.9e-70	230.4	250	466	1	217	45.9	1	probable fragment		
GFS_7316_339_1	455	S1_8	443	7.8e-157	514.8	3	426	22	452	95.5	1	high	3.10.1.1 3.1.6.- 	
GL94_UP_concoct_254_239_8	440	S1_36	438	1.6e-180	592.9	3	425	24	431	96.3	1	high		
GL49_Down_concoct_122_81_9	493	S1_11	498	1.3e-176	580.7	5	486	11	482	96.6	1	high	3.1.6.11 3.1.6.14 	
GL45_Down_concoct_159_sub_88_5	503	S1_12	481	2e-108	355.7	2	441	37	498	91.3	1	several good hits	3.1.6.6 3.1.6.- 	 good hit with these HMMs: S1_12(355.7);S1_46(347.9);S1_73(333.8);S1_53(319.8);S1_7(317.5)
GL139_UP_metabinner_22_sub_484_9	834	S1_8	443	1e-50	165.1	4	303	378	705	67.5	1	probable fragment		
GL74_UP_metabat_107_sub_154_35	449	S1_19	430	1.6e-165	543.2	2	412	33	438	95.3	1	high	3.1.6.- 	
GLR68_GL53_UP_2_metabat_7_sub_14_8	525	S1_12	481	7e-200	657.3	3	480	5	488	99.2	1	high	3.1.6.6 3.1.6.- 	
GL94_UP_concoct_254_362_5	467	S1_8	443	6.3e-129	422.8	2	416	20	455	93.5	1	high	3.10.1.1 3.1.6.- 	
GFS_5510_672_1	297	S1_27	454	1.3e-64	211.2	3	311	4	297	67.8	1	probable fragment		
GL82_UP_concoct_189_sub_129_5	354	S1_29	405	2.2e-56	183.9	188	397	56	273	51.6	1	probable fragment		
GL35_DN_concoct_8_151_5	636	S1_16	444	1.3e-132	434.8	2	438	36	457	98.2	1	high		
GL86_DN_metabat_16_sub_6_3	640	S1_8	443	3.7e-50	163.2	4	302	6	304	67.3	1	probable fragment		
GL132_UP_concoct_180_1093_1	296	S1_61	451	2.3e-32	104.7	229	406	69	245	39.2	1	probable fragment		
GFS_11219_186_1	360	S1_18	426	1.6e-131	431.3	57	411	1	351	83.1	1	high		
GFS_5757_12_2	396	S1_27	454	3.4e-71	232.9	3	417	5	394	91.2	1	low		
GFS_4681_580_2	721	S1_16	444	2.8e-32	104.2	129	422	418	698	66.0	1	probable fragment		
GFS_4040_197_29	441	S1_14	426	1.9e-131	431.0	2	416	27	429	97.2	1	high		
338R_concoct_65_433_2	455	S1_19	430	4.8e-164	538.4	2	420	22	446	97.2	1	high	3.1.6.- 	
GL85_DN_metabinner_10_138_3	190	S1_27	454	1.6e-46	151.5	259	444	1	179	40.7	1	probable fragment		
GL94_UP_concoct_254_430_5	405	S1_46	459	2.2e-93	305.7	3	387	21	384	83.7	1	high		
GL140_2_concoct_166_533_1	588	S1_53	474	2.7e-35	114.6	273	456	401	581	38.6	1	probable fragment		
GL85_DN_concoct_146_sub_1077_1	337	S1_61	451	5.1e-59	192.6	118	442	5	321	71.8	1	probable fragment		
GL72_UP_concoct_70_sub_871_5	446	S1_17	425	7.9e-127	415.9	78	411	1	339	78.4	1	high	3.1.6.- 	
GL26_DN_metabat_42_336_2	295	S1_4	536	1.3e-99	326.6	196	506	1	290	57.8	1	high	3.1.6.1 	
GL73_DN_metabat_110_sub_100_9	719	S1_8	443	4.5e-23	176.5	2	336	38	372	75.4	1	probable fragment		fusion of 2 fragments from 229 to 372 score 74.0 fragment 2 from 38 to 212 score 102.5
GFS_11879_130_1	552	S1_12	481	3.6e-34	110.8	245	437	63	247	39.9	1	probable fragment		
GFS_10893_170_27	490	S1_8	443	1.9e-138	454.2	3	424	34	477	95.0	1	high	3.10.1.1 3.1.6.- 	
GL26_UP_concoct_141_178_2	785	S1_29	405	1.1e-71	234.3	4	396	25	479	96.8	1	low		
GL85_DN_concoct_3_1085_2	837	S1_8	443	2.2e-43	140.9	5	326	255	567	72.5	1	probable fragment		
GL91_DN_metabinner_18_494_5	547	S1_4	536	4e-188	618.7	2	512	29	544	95.1	1	high	3.1.6.1 	
GL30_DN_concoct_6_185_13	474	S1_6	469	1.7e-115	379.0	2	451	39	470	95.7	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL139_UP_metabat_106_310_3	484	S1_25	440	3.6e-159	522.8	1	433	35	481	98.2	1	high	3.1.6.- 	
GFS_2040_906_5	971	S1_8	443	3.4e-17	139	5	309	271	563	68.6	1	probable fragment		fusion of 2 fragments from 439 to 563 score 54.6 fragment 2 from 271 to 429 score 84.4
GL103_UP_concoct_68_794_4	565	S1_8	443	3e-43	140.5	7	296	36	321	65.2	1	probable fragment		
GFS_6110_333_6	463	S1_8	443	7.5e-136	445.6	2	428	17	438	96.2	1	high	3.10.1.1 3.1.6.- 	
GFS_3114_531_1	336	S1_16	444	1.1e-126	415.4	5	307	26	333	68.0	1	high		
GFS_3888_158_1	222	S1_63	482	4.9e-70	228.9	47	270	1	221	46.3	1	probable fragment		
GL34_DN_metabinner_24_sub_821_3	192	S1_7	456	2.4e-67	220.1	258	443	2	188	40.6	1	probable fragment		
GL30_DN_concoct_186_323_1	300	S1_4	536	3.4e-117	384.6	2	290	19	300	53.7	1	high	3.1.6.1 	
GL53_Down_concoct_85_sub_783_11	465	S1_18	426	1.1e-159	524.1	2	413	38	455	96.5	1	high		
GL72_UP_concoct_308_sub_445_1	465	S1_17	425	1.2e-167	550.4	2	422	26	455	98.8	1	high	3.1.6.- 	
GFS_13091_252_15	523	S1_12	481	5.7e-208	684.0	3	480	4	486	99.2	1	high	3.1.6.6 3.1.6.- 	
GFS_7207_972_1	392	S1_53	474	3.1e-97	318.8	90	467	4	377	79.5	1	high		
GL53_Down_metabinner_30_sub_460_15	570	S1_11	498	1.1e-210	693.1	5	481	77	566	95.6	1	high	3.1.6.11 3.1.6.14 	
GL73_DN_metabat_110_sub_399_5	690	S1_61	451	1.7e-36	209.7	1	437	15	390	96.7	1	low		fusion of 2 fragments from 196 to 390 score 118.4 fragment 2 from 15 to 195 score 91.3
GL115_DN_metabinner_4_201_17	508	S1_16	444	4e-166	545.3	2	435	25	495	97.5	1	high		
GL72_UP_concoct_308_sub_1295_2	564	S1_8	443	4.9e-136	446.2	18	433	2	419	93.7	1	high	3.10.1.1 3.1.6.- 	
GFS_2191_435_1	624	S1_8	443	4.8e-22	167.2	3	331	28	359	74.0	1	probable fragment		fusion of 2 fragments from 211 to 359 score 70.6 fragment 2 from 28 to 200 score 96.6
GL119_DN_concoct_185_333_7	606	S1_4	536	3e-199	655.5	2	517	77	598	96.1	1	high	3.1.6.1 	
336R_metabinner_8_56_32	527	S1_56	526	3.6e-236	777.1	2	525	3	525	99.4	1	high		
GL132_UP_concoct_180_884_3	842	S1_7	456	2.1e-115	378.5	2	443	406	837	96.7	2	high	3.1.6.13 3.1.6.- 	
GL124_DN_metabinner_25_190_22	490	S1_67	492	3.2e-103	338.2	3	477	4	486	96.3	1	several good hits		 good hit with these HMMs: S1_67(338.2);S1_73(329.9);S1_53(319.5);S1_52(303.8)
GL85_DN_metabinner_10_679_1	497	S1_7	456	2.4e-92	302.5	2	450	22	471	98.2	1	high	3.1.6.13 3.1.6.- 	
GL73_DN_concoct_131_521_3	890	S1_15	471	9.7e-162	531.4	2	468	43	517	98.9	1	high	3.1.6.4 	
GL82_UP_concoct_14_927_2	380	S1_71	422	1.9e-136	447.7	38	416	1	376	89.6	1	high		
GL140_3_concoct_225_sub_1042_1	334	S1_9	433	5.9e-62	201.9	76	420	13	329	79.4	1	probable fragment		
GL32_UP_metabinner_48_sub_56_4	459	S1_16	444	4.1e-167	548.6	2	437	24	451	98.0	1	high		
GL135_UP_concoct_228_31_1	234	S1_32	423	9.6e-70	227.6	214	416	1	211	47.8	1	probable fragment		
GFS_2207_113_236	490	S1_46	459	2.3e-34	111.1	175	451	188	464	60.1	1	probable fragment		
GL53_Down_metabinner_27_sub_348_2	446	S1_25	440	1.7e-101	332.8	2	433	12	441	98.0	1	high	3.1.6.- 	
GL85_DN_concoct_11_434_1	511	S1_46	459	8.6e-32	102.7	3	304	232	510	65.6	1	probable fragment		
GL72_DN_metabinner_28_sub_117_13	714	S1_61	451	5.9e-32	103.4	232	431	501	691	44.1	1	probable fragment		
GL132_DN_metabinner_20_417_2	843	S1_7	456	3.9e-55	333.5	2	445	24	562	97.1	1	high	3.1.6.13 3.1.6.- 	fusion of 2 fragments from 336 to 562 score 179.9 fragment 2 from 24 to 255 score 153.6
GFS_3877_196_52	467	S1_19	430	8.2e-168	550.8	2	424	35	458	98.1	1	high	3.1.6.- 	
GFS_6199_632_2	780	S1_8	443	8.4e-26	167.6	2	328	45	372	73.6	1	probable fragment		fusion of 2 fragments from 228 to 372 score 82.9 fragment 2 from 45 to 217 score 84.7
GFS_7929_654_1	231	S1_19	430	2e-63	206.8	206	412	16	221	47.9	1	probable fragment		
GL119_DN_concoct_185_53_4	510	S1_15	471	7.1e-169	554.9	2	468	27	507	98.9	1	high	3.1.6.4 	
GFS_4040_111_2	362	S1_8	443	5.2e-37	220.6	4	298	38	310	66.4	1	probable fragment		fusion of 2 fragments from 179 to 310 score 119.9 fragment 2 from 38 to 164 score 100.7
GFS_3114_87_8	463	S1_14	426	2.1e-157	516.6	2	412	29	429	96.2	1	high		
GFS_11651_354_7	505	S1_14	426	2.4e-159	523.0	2	423	29	475	98.8	1	high		
GFS_7164_229_7	488	S1_20	444	3.3e-181	595.3	2	437	25	482	98.0	1	high		
GL82_DN_concoct_89_sub_237_3	679	S1_46	459	3.1e-31	100.8	261	436	495	663	38.1	1	probable fragment		
GFS_8318_365_8	706	S1_8	443	3.7e-40	130.3	2	297	31	320	66.6	1	probable fragment		
GFS_13507_376_9	836	S1_7	456	6.1e-58	336.6	2	447	24	559	97.6	1	high	3.1.6.13 3.1.6.- 	fusion of 2 fragments from 334 to 559 score 189.1 fragment 2 from 24 to 256 score 147.5
GFS_12086_520_4	194	S1_32	423	3.6e-47	153.2	231	411	1	173	42.6	1	probable fragment		
GL119_DN_concoct_185_332_7	455	S1_19	430	1e-155	510.9	2	414	26	429	95.8	1	high	3.1.6.- 	
GFS_10255_99_19	440	S1_26	443	1.4e-70	230.8	2	437	23	433	98.2	1	low		
GFS_8640_558_1	524	S1_52	473	1.3e-33	109.0	264	447	82	259	38.7	1	probable fragment		
GFS_12943_634_7	580	S1_6	469	5.5e-136	446.6	2	456	122	571	96.8	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GFS_14476_168_5	471	S1_32	423	4.2e-171	561.5	2	416	29	451	97.9	1	high		
GL106_DN_concoct_81_803_5	483	S1_61	451	4.4e-86	281.8	1	443	2	420	98.0	1	low		
GL140_3_concoct_225_sub_1449_1	528	S1_8	443	7.8e-143	468.7	2	431	37	493	96.8	1	high	3.10.1.1 3.1.6.- 	
GFS_4384_923_2	528	S1_15	471	4.4e-170	558.9	2	469	45	526	99.2	1	high	3.1.6.4 	
GL72_DN_concoct_34_603_1	352	S1_61	451	1.2e-55	181.5	117	443	17	335	72.3	1	probable fragment		
GL119_DN_concoct_185_422_4	448	S1_36	438	1.2e-183	603.2	3	433	23	444	98.2	1	high		
GL94_UP_concoct_254_501_6	438	S1_24	410	1.6e-148	487.5	2	403	21	422	97.8	1	high		
GFS_6317_148_4	460	S1_61	451	7.5e-49	240.3	1	433	6	413	95.8	1	low		fusion of 2 fragments from 213 to 413 score 159.1 fragment 2 from 6 to 178 score 81.2
GFS_13386_535_1	246	S1_21	416	8.2e-100	326.8	170	414	1	244	58.7	1	high		
GL51_Up_metabinner_2_273_2	575	S1_16	444	8.2e-138	452.0	1	440	36	552	98.9	1	high		
GFS_7533_58_3	459	S1_64	483	7.3e-44	242	1	347	3	336	71.6	1	probable fragment		fusion of 2 fragments from 129 to 336 score 143.1 fragment 2 from 3 to 119 score 98.9
GL72_DN_concoct_9_sub_642_1	167	S1_24	410	8.9e-38	122.7	85	199	1	134	27.8	1	probable fragment		
GL122_DN_metabat_25_254_10	746	S1_8	443	3.3e-20	128.5	2	323	374	692	72.5	1	probable fragment		fusion of 2 fragments from 555 to 692 score 64.5 fragment 2 from 374 to 540 score 64.0
GL56_Down_concoct_109_525_3	442	S1_16	444	3.2e-159	522.6	2	431	14	438	96.6	1	high		
GL48_UP_concoct_98_1106_1	383	S1_16	444	6.9e-116	379.7	96	432	13	370	75.7	1	high		
GL132_UP_concoct_180_539_1	400	S1_8	443	8.9e-38	122.4	3	323	29	339	72.2	1	probable fragment		
GFS_2647_290_15	479	S1_8	443	5e-55	179.3	2	320	42	400	71.8	1	probable fragment		
GL44_UP_metabat_155_205_2	510	S1_53	474	1.7e-102	336.2	3	465	24	484	97.5	1	high		
GFS_12570_231_6	234	S1_12	481	3.3e-83	272.5	270	481	1	210	43.9	1	probable fragment		
GL73_DN_concoct_61_996_1	274	S1_17	425	7.5e-120	392.9	2	249	26	274	58.1	1	high	3.1.6.- 	
338R_concoct_65_593_17	457	S1_23	422	2.9e-153	503.1	2	416	19	454	98.1	1	high		
GFS_3960_1348_2	531	S1_29	405	1.4e-132	434.8	2	401	19	436	98.5	1	high		
GL139_UP_concoct_52_sub_343_5	740	S1_52	473	2.3e-38	124.6	256	450	540	730	41.0	1	probable fragment		
GFS_9516_1288_3	392	S1_8	443	7.3e-37	119.4	2	306	71	379	68.6	1	probable fragment		
GL51_Up_metabinner_2_264_15	466	S1_39	451	2.6e-178	585.5	2	449	27	460	99.1	1	high		
GFS_2191_403_2	603	S1_8	443	1.7e-28	178.3	2	336	62	388	75.4	1	probable fragment		fusion of 2 fragments from 233 to 388 score 91.8 fragment 2 from 62 to 231 score 86.5
338R_concoct_65_457_14	460	S1_71	422	2.7e-145	476.8	2	416	29	458	98.1	1	high		
GL72_UP_concoct_191_132_2	650	S1_8	443	2.4e-41	134.2	2	333	265	597	74.7	1	probable fragment		
GFS_4384_1053_2	473	S1_8	443	2.4e-131	430.8	3	421	26	462	94.4	1	high	3.10.1.1 3.1.6.- 	
GFS_10002_42_3	470	S1_46	459	4.5e-86	281.6	3	447	4	452	96.7	1	low		
GFS_13968_105_2	325	S1_22	433	1.5e-76	250.2	3	302	39	324	69.1	1	probable fragment		
GFS_3830_15_19	486	S1_28	445	1.1e-172	567.2	2	442	30	476	98.9	1	high		
GFS_3216_270_6	459	S1_61	451	3.9e-31	100.7	239	431	254	442	42.6	1	probable fragment		
GL51_Up_metabinner_2_175_2	166	S1_24	410	6.8e-47	152.7	264	404	2	142	34.1	1	probable fragment		
GL85_DN_metabinner_2_69_23	436	S1_26	443	1.5e-71	234.0	1	437	18	429	98.4	1	low		
GL85_UP_metabat_97_sub_551_2	747	S1_8	443	4.5e-31	100.3	2	292	242	544	65.5	1	probable fragment		
GL27_UP_concoct_44_sub_325_3	529	S1_29	405	1.9e-134	441.0	2	400	19	433	98.3	1	high		
GL88_UP_metabat_53_47_10	436	S1_18	426	2.1e-159	523.1	2	411	31	433	96.0	1	high		
GFS_1607_609_3	269	S1_61	451	1.1e-44	145.4	234	432	5	204	43.9	1	probable fragment		
GFS_5096_293_1	479	S1_0	499	4.6e-147	483.1	13	494	1	455	96.4	1	high	3.1.-.- 	
GFS_9681_490_7	434	S1_61	451	2.6e-81	266.0	1	443	2	422	98.0	1	low		
GL30_UP_concoct_80_485_4	797	S1_46	459	2.5e-40	130.8	173	447	485	749	59.7	1	probable fragment		
GFS_2591_404_6	800	S1_12	481	4.6e-33	107.2	250	436	594	788	38.7	1	probable fragment		
GFS_11924_634_2	440	S1_18	426	1e-166	547.2	2	410	24	431	95.8	1	high		
GL26_UP_concoct_141_848_4	492	S1_29	405	9.8e-67	218.0	5	398	23	473	97.0	1	low		
GL140_5_concoct_341_298_2	587	S1_53	474	1.9e-86	283.2	2	369	2	386	77.4	1	probable fragment		
GFS_1249_37_1	494	S1_20	444	3.2e-178	585.4	2	435	25	487	97.5	1	high		
GL72_UP_concoct_191_460_2	638	S1_8	443	2.1e-20	155.9	3	339	47	378	75.8	1	probable fragment		fusion of 2 fragments from 221 to 378 score 65.1 fragment 2 from 47 to 219 score 90.8
GFS_2106_67_1	475	S1_61	451	2.8e-68	223.1	1	441	2	421	97.6	1	low		
