Row.names	sub_grp_6	d	p	c	o	f	g	s	
2559	GL82_UP_metabinner_7	1	d__Bacteria	p__Bacteroidota	c__UBA10030	o__UBA10030	f__UBA8401	g__UBA8401	s__
2562	GL85_DN_concoct_146_sub	1	d__Bacteria	p__Armatimonadota	c__Chthonomonadetes	o__Chthonomonadales	f__Chthonomonadaceae	g__	s__
2563	GL85_DN_concoct_172	1	d__Bacteria	p__Actinobacteriota	c__Thermoleophilia	o__Gaiellales	f__Gaiellaceae	g__Gaiella	s__
2566	GL85_DN_concoct_207	1	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
2579	GL85_DN_metabinner_10	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
2581	GL85_DN_metabinner_16	1	d__Bacteria	p__Acidobacteriota	c__Holophagae	o__Holophagales	f__Holophagaceae	g__JADJVL01	s__
2582	GL85_DN_metabinner_2	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
2588	GL85_UP_concoct_110	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Leptolyngbyales	f__Leptolyngbyaceae	g__JAAFJU01	s__
2592	GL85_UP_concoct_189_sub	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__JAENVS01	s__
2597	GL85_UP_concoct_74	1	d__Bacteria	p__Bacteroidota	c__Kapabacteria	o__Palsa-1295	f__Palsa-1295	g__JAFDZW01	s__
2598	GL85_UP_metabat_129	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Mycobacteriales	f__SCTD01	g__	s__
2601	GL85_UP_metabat_97_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Solibacter	s__
2603	GL85_UP_metabinner_2	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__Bog-756	s__
2605	GL86_DN_concoct_157	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
2607	GL86_DN_metabat_16_sub	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__Gp6-AA45	s__
2611	GL88_DN_concoct_96_sub	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
2616	GL88_UP_metabat_53	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__RBC074	f__RBC074	g__	s__
2621	GL90_UP_concoct_10	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__RBG-16-71-46	s__
2624	GL90_UP_metabinner_12_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
2626	GL90_UP_metabinner_46	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermatophilaceae	g__UBA4719	s__
2627	GL90_UP_metabinner_5	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
2631	GL91_DN_metabinner_8_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
2632	GL91_UP_concoct_143	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__Acidobacteriaceae	g__Granulicella_C	s__
2633	GL91_UP_metabat_169	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__RAAP-2	g__RAAP-2	s__
2634	GL91_UP_metabinner_10	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Verrucomicrobiaceae	g__VFKE01	s__
2646	GL92_UP_concoct_71	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__	g__	s__
2649	GL92_UP_metabinner_3	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
2653	GL93_DN_concoct_143	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__QYPT01	s__
2655	GL93_DN_concoct_26	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
2657	GL93_DN_concoct_93	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__	s__
2668	GL93_UP_concoct_187	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__UBA4720	s__
2669	GL93_UP_concoct_19_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Opitutales	f__Opitutaceae	g__Lacunisphaera	s__
2671	GL93_UP_concoct_250	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__	s__
2673	GL93_UP_concoct_270_sub	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
2674	GL93_UP_concoct_4	1	d__Bacteria	p__Armatimonadota	c__Fimbriimonadia	o__Fimbriimonadales	f__Fimbriimonadaceae	g__Fimbriimonas	s__
2677	GL93_UP_concoct_86	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__	s__
2681	GL93_UP_metabat_23	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__CAIQOK01	g__CAIQOK01	s__
2684	GL93_UP_metabinner_34_sub	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Acidobacteriales	f__SbA1	g__	s__
2685	GL93_UP_metabinner_38_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__UBA11358	g__UBA11358	s__
2689	GL94_DN_concoct_89	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
2696	GL94_DN_metabinner_27	1	d__Bacteria	p__Acidobacteriota	c__Blastocatellia	o__Pyrinomonadales	f__Pyrinomonadaceae	g__OLB17	s__
2699	GL94_UP_concoct_2_sub	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Lacisediminihabitans	s__
2703	GL94_UP_concoct_254	1	d__Bacteria	p__Acidobacteriota	c__Acidobacteriae	o__Bryobacterales	f__Bryobacteraceae	g__Ga0077553	s__
2705	GL94_UP_concoct_84	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
2718	GL95_DN_metabat_18	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__	s__
2719	GL95_UP_concoct_109_sub	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
2721	GL95_UP_concoct_247	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
2722	GL95_UP_concoct_37	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
2723	GL95_UP_concoct_7	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Pseudolysinimonas	s__
2734	GL96_DN_concoct_71	1	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__2-01-FULL-66-17	f__2-01-FULL-66-17	g__	s__
2743	GL97_DN_concoct_74_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
2744	GL97_DN_metabinner_14_sub	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Pedosphaerales	f__JACDHS01	g__	s__
2745	GL97_DN_metabinner_3	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__SZUA-252	f__SZUA-252	g__WS-7	s__
2751	GL97_UP_metabat_53_sub	1	d__Bacteria	p__Acidobacteriota	c__Vicinamibacteria	o__Vicinamibacterales	f__UBA2999	g__12-FULL-67-14b	s__
2752	GL97_UP_metabat_92	1	d__Bacteria	p__Omnitrophota	c__Koll11	o__2-02-FULL-51-18	f__2-02-FULL-51-18	g__	s__
2754	GL97_UP_metabinner_3	1	d__Bacteria	p__Eisenbacteria	c__RBG-16-71-46	o__RBG-16-71-46	f__RBG-16-71-46	g__CADEFY01	s__
2755	GL98_DN_concoct_111	1	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__2-01-FULL-59-12	f__2-01-FULL-59-12	g__	s__
2756	GL98_DN_concoct_155	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__SXWH01	s__
2757	GL98_DN_concoct_206	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__Chthoniobacter	s__
2765	GL98_UP_metabinner_10	1	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Nanopelagicales	f__Nanopelagicaceae	g__PALSA-747	s__
2772	GL99_DN_concoct_155_sub	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__Gemmatimonas	s__
2775	GL99_DN_concoct_74	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Pseudanabaenales	f__Pseudanabaenaceae	g__Pseudanabaena	s__
2779	GL99_UP_concoct_160	1	d__Bacteria	p__Actinobacteriota	c__Acidimicrobiia	o__Acidimicrobiales	f__Ilumatobacteraceae	g__WLMZ01	s__
2783	GL99_UP_metabat_52_sub	1	d__Bacteria	p__Chloroflexota	c__Limnocylindria	o__Limnocylindrales	f__CSP1-4	g__UBA5189	s__
2789	GLR18_GL16_UP_2_concoct_42	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Chthoniobacterales	f__Chthoniobacteraceae	g__	s__
2806	GLR21_GL16_DN_2_metabat_58	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__JAAFIG01	g__JAAFIG01	s__
2809	GLR22_GL16_DN_3_concoct_51	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Leptolyngbyales	f__Leptolyngbyaceae	g__JAAFJU01	s__
2812	GLR3_GL5_UP_3_concoct_4	1	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	o__Verrucomicrobiales	f__Akkermansiaceae	g__Luteolibacter	s__
2814	GLR56_GL46_UP_1_metabinner_1_sub	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcoleaceae	g__Microcoleus	s__
2821	GLR68_GL53_UP_2_concoct_156	1	d__Bacteria	p__Deinococcota	c__Deinococci	o__Deinococcales	f__JAAFIG01	g__JAAFIG01	s__
2833	GLR80_GL56_UP_1_concoct_19	1	d__Bacteria	p__Spirochaetota	c__Leptospirae	o__Leptospirales	f__Leptospiraceae	g__UBA2033	s__
2834	GLR80_GL56_UP_1_concoct_22	1	d__Bacteria	p__Cyanobacteria	c__Cyanobacteriia	o__Cyanobacteriales	f__Microcoleaceae	g__Microcoleus	s__
2841	GLR80_GL56_UP_1_metabat_21	1	d__Bacteria	p__Planctomycetota	c__UBA11346	o__UBA11346	f__UBA11346	g__BOG-1363	s__
2854	GLR81_GL56_UP_2_metabinner_13	1	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	o__Gemmatimonadales	f__Gemmatimonadaceae	g__JACMLX01	s__
2	336R_concoct_137	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__	s__
13	336R_concoct_310_sub	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
29	336R_metabinner_28	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__JADJMO01	g__JADJMO01	s__
38	336R_metabinner_76_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
99	341R_metabat_72_sub	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
129	GFS_10166	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
136	GFS_10254	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
139	GFS_10292	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__	g__	s__
215	GFS_11	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PALSA-1152	s__
243	GFS_11411	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
244	GFS_11434	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
255	GFS_11564	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
256	GFS_11573	2	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__Bacteriovorax	s__
273	GFS_11729	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
279	GFS_118	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
310	GFS_12021	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074139	s__
312	GFS_12031	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
325	GFS_12192	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
328	GFS_12198	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
332	GFS_12221	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074137	s__
336	GFS_12268	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074137	s__
340	GFS_1235	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
347	GFS_12386	2	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__VGSZ01	g__JACOUT01	s__
348	GFS_12387	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__	s__
415	GFS_1284	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
434	GFS_12952	2	d__Bacteria	p__Bdellovibrionota	c_C87	o__UBA2466	f__	g__	s__
462	GFS_13241	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
468	GFS_13294	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
477	GFS_13369	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
478	GFS_13375	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074137	s__
485	GFS_13404	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
488	GFS_13408	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__JAEUJT01	s__
513	GFS_13645	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__PMG-095	s__
519	GFS_13693	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
524	GFS_13757	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
531	GFS_13857	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
534	GFS_13875	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__UBA2376	s__
544	GFS_13965	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
547	GFS_14001	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
562	GFS_14252	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
574	GFS_14456	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
617	GFS_1750	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__	s__
619	GFS_1762	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Sandaracinaceae	g__	s__
623	GFS_179	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
640	GFS_2040	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SXNL01	s__
644	GFS_2058	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
654	GFS_2127	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
656	GFS_2134	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
658	GFS_2136	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__Archangium_A	s__
663	GFS_2151	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
665	GFS_2166	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
690	GFS_2319	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Myxococcaceae	g__	s__
698	GFS_2369	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
701	GFS_2386	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__JACMQW01	s__
720	GFS_2535	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
721	GFS_2541	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia_A	o__UBA1018	f__UBA1018	g__CAIYTD01	s__
722	GFS_2542	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
723	GFS_2545	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
726	GFS_2572	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__JABDDW01	f__JABDDW01	g__	s__
729	GFS_2591	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
747	GFS_2774	2	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__UBA1565	f__UBA9628	g__GWA2-66-18	s__
758	GFS_2885	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
776	GFS_3035	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
777	GFS_3043	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Ga0074139	s__
796	GFS_3148	2	d__Bacteria	p__Acidobacteriota	c__Mor1	o__Mor1	f__	g__	s__
803	GFS_3216	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
815	GFS_3307	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
819	GFS_3344	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__Pseudobdellovibrio sp014378775
822	GFS_3369	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Palsa-1104	f__Palsa-1104	g__	s__
825	GFS_3383	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__Anaeromyxobacteraceae	g__JADKCZ01	s__
826	GFS_3384	2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Oligoflexales	f__RGVZ01	g__	s__
845	GFS_3655	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
848	GFS_3689	2	d__Bacteria	p__Bdellovibrionota	c__Bacteriovoracia	o__Bacteriovoracales	f__Bacteriovoracaceae	g__UBA4096	s__
853	GFS_3818	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
876	GFS_3984	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
878	GFS_3993	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
896	GFS_4088	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__SZUA-265	s__
901	GFS_4138	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
904	GFS_4193	2	d__Bacteria	p__Bdellovibrionota	c__Oligoflexia	o__Silvanigrellales	f__Silvanigrellaceae	g__	s__
905	GFS_4219	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
909	GFS_4290	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
911	GFS_4302	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
913	GFS_4320	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
914	GFS_4323	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
936	GFS_4522	2	d__Bacteria	p__Myxococcota	c__Myxococcia	o__Myxococcales	f__40CM-4-68-19	g__CAIWCD01	s__
950	GFS_4681	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
953	GFS_4694	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
971	GFS_4757	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
974	GFS_4791	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
986	GFS_4902	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__	s__
987	GFS_4915	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__PSRN01	s__
992	GFS_4936	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Byssovorax	s__
1011	GFS_5282	2	d__Bacteria	p__Elusimicrobiota	c__Elusimicrobia	o__UBA1565	f__UBA9628	g__GWA2-66-18	s__
1021	GFS_5333	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__UBA2316	s__
1072	GFS_5683	2	d__Bacteria	p__Myxococcota	c__UBA727	o__UBA727	f__VGSZ01	g__JACOUT01	s__
1117	GFS_5860	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__UBA6776	g__	s__
1122	GFS_5931	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
1152	GFS_6107	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Haliangiales	f__Haliangiaceae	g__JABFXX01	s__
1166	GFS_6187	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1167	GFS_6197	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__Pseudobdellovibrio	s__
1171	GFS_6217	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
1183	GFS_6335	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
1186	GFS_6350	2	d__Bacteria	p__Myxococcota	c__Polyangia	o__Polyangiales	f__Polyangiaceae	g__Labilithrix	s__
1188	GFS_6366	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__21-14-0-10-47-8	s__
1190	GFS_6368	2	d__Bacteria	p__Bdellovibrionota	c__Bdellovibrionia	o__Bdellovibrionales	f__Bdellovibrionaceae	g__	s__
