MAGs	Completeness	Contamination	sum_len	LengthNorm	LengthNorm2
GFS_3093	70.79	7.79	620166	807818.9978810566	876064.4158779487
GFS_3094	74.52	2.92	1992563	2595786.5813204506	2673863.392377885
GFS_3101	82.74	3.2	4275939	5002548.890500362	5167922.407541697
GFS_3103	75.26	4.37	2689451	3417382.396093542	3573546.3725750726
GFS_3107	84.55	3.82	4373319	4974876.6578356	5172464.813719693
GFS_3108	79.04	8.67	4232596	4890726.121963562	5355005.060728745
GFS_3111	76.76	3.56	3300958	4147269.274622199	4300362.167795727
GFS_3114	88.42	2.63	8432106	9285615.937796878	9536423.885998642
GFS_3124	79.48	4.04	3602540	4349518.600905888	4532637.141419224
GFS_3132	82.4	2.59	4269255	5046943.319781552	5181134.708737863
GFS_3137	79.04	8.39	1990924	2307547.4144736845	2518881.5789473685
GFS_3143	84.68	8.87	4283776	4610067.393481341	5058781.294284364
GFS_3148	74.57	2.69	1970495	2571394.239640606	2642476.8673729384
GFS_3150	72.81	3.31	1152994	1531149.4281005354	1583565.4443071005
GFS_3154	82.51	1.06	1788325	2144429.469155254	2167403.951036238
GFS_3156	70.09	8.9	2102431	2732650.365244685	2999616.2077329145
GFS_3165	72.81	8.48	2703130	3397753.8469990385	3712580.6894657323
GFS_3178	73.27	2.74	3642845	4835582.157772623	4971809.744779583
GFS_3212	70.99	9.82	3085498	3919569.0891674887	4346383.997746162
GFS_3216	77.76	3.44	7527695	9347662.41255144	9680677.726337448
GFS_3221	92.08	0.76	847086	912954.1120764553	919945.6993918333
GFS_3223	93.3	2.09	2557677	2684053.1090032156	2741347.266881029
GFS_3228	82.09	9.64	855906	942132.6124984772	1042643.4401266902
GFS_3232	82.74	0.68	968937	1163099.1399564901	1171062.3640319072
GFS_3239	88.99	2.48	3487570	3821865.6747949207	3919058.321159681
GFS_3240	86.61	0.11	3159215	3643620.671400531	3647633.0677750837
GFS_3241	73.6	1.1	3760937	5053759.09375	5109968.75
GFS_3253	92.7	2.19	1104022	1164880.1706580366	1190962.2437971951
GFS_3296	78.87	4.18	2538904	3084541.4134651963	3219099.784455433
GFS_3299	78.75	7.18	3532752	4163937.0239999997	4486034.285714285
GFS_3300	73.1	3.37	2774622	3667739.0404924764	3795652.530779754
GFS_3301	72.79	0.24	2033848	2787425.1474103583	2794131.06195906
GFS_3307	81.49	7.89	6779676	7663221.945760217	8319641.67382501
GFS_3316	73.85	3.67	3861753	5037273.750710901	5229184.834123223
GFS_3325	93.67	1.67	3457503	3629510.7290487876	3691152.983879577
GFS_3339	71.01	7.16	3612860	4723530.804112096	5087818.617096183
GFS_3344	81.78	3.31	2860220	3381690.7776962584	3497456.5908535095
GFS_335	70.82	0.64	2570401	3606255.9073708	3629484.608867552
GFS_3356	85.05	4.44	4773145	5362983.376837155	5612163.433274545
GFS_3369	76.63	2.93	4539671	5750565.887641916	5924143.285919353
GFS_3372	100	0.02	3317609	3316945.4782000002	3317609
GFS_3381	93.58	0.52	6108043	6493140.816841206	6527081.641376362
GFS_3383	80.61	0.65	2536761	3126500.5005582436	3146955.7126907334
GFS_3384	83.72	2.4	4685301	5462080.477783087	5596393.932154802
GFS_339	99.4	1.98	3557769	3508375.4263581485	3579244.4668008047
GFS_3390	83.53	5.32	673527	763432.7350652459	806329.462468574
GFS_3396	82.49	3.96	2714515	3160407.5718268882	3290720.087283307
GFS_3401	78.32	4	3206625	3930490.2962206337	4094260.7252298268
GFS_3414	76.11	0.6	2765332	3611535.9453422674	3633335.961108921
GFS_3417	92.21	2.85	636029	670103.2138596682	689761.4141633229
GFS_3428	85.09	1.44	948185	1098285.5047596663	1114331.8838876483
GFS_3451	85.27	2.54	3085195	3526247.269848716	3618148.2350181774
GFS_3453	79.31	5.89	806479	956975.6485941244	1016869.2472575968
GFS_3474	96.73	0.65	860323	883625.4528067817	889406.5956786931
GFS_3484	79.54	0.96	1595015	1986048.3480010054	2005299.220517978
GFS_3499	86.98	1.96	2867694	3232337.546102552	3296957.921361232
GFS_3520	87.65	5.21	5594983	6050752.294010268	6383323.445521962
GFS_3553	91.02	5.6	822594	853140.7778510217	903750.8239947264
GFS_3556	77.8	2.06	4877485	6140114.150385604	6269260.925449871
GFS_3577	90.58	0.5	3329206	3657054.5043055867	3675431.66261868
GFS_3631	88.36	4.85	2733798	2943875.9585785423	3093931.643277501
GFS_3651	74.37	1.13	3402798	4523795.05526422	4575498.184751916
GFS_3655	83.46	2.65	2512714	2930897.530553559	3010680.565540379
GFS_3657	71.85	1.63	747798	1023811.9590814197	1040776.617954071
GFS_3677	73.57	5.15	2241584	2889958.4395813514	3046872.366453718
GFS_3689	93.97	9.72	5597706	5377896.11237629	5956907.523677769
GFS_3732	81.82	1.01	3029303	3665004.9373013936	3702399.168907358
GFS_3735	82.34	2.41	3064649	3632245.517488463	3721944.3769735247
GFS_3738	78.73	0.78	648785	817635.5607773402	824063.2541597865
GFS_3817	89.67	5.58	4330403	4559793.144418423	4829266.198282591
GFS_3818	81.68	0.26	2728591	3331900.91013712	3340586.4348677765
GFS_3822	90.67	3.62	2996574	3185285.1231939998	3304923.3484063083
GFS_3826	82.71	1.22	5789010	6913775.937613348	6999165.759883932
GFS_3829	77.73	2.75	579291	724765.852952528	745260.517174836
GFS_3830	80.64	2.59	3854678	4656301.884672619	4780106.646825397
GFS_3841	82.11	1.54	3462106	4151491.3744976255	4216424.308853976
GFS_3868	94.4	0.29	3997628	4222494.574999999	4234775.4237288125
GFS_3870	75.75	0.23	595785	784705.8673267327	786514.8514851485
GFS_3872	71.65	2.01	2996474	4098038.9010467553	4182099.092812282
GFS_3876	88.8	2.87	4139095	4527368.213400901	4661143.018018018
GFS_3877	93.17	9.86	5461293	5283685.210046152	5861643.232800257
GFS_3882	99.74	2.21	4613401	4523205.171345498	4625427.110487267
GFS_3883	79.49	1.17	3618124	4498417.347087685	4551671.908416154
GFS_3885	80.06	1.78	2561529	3142560.3095178613	3199511.616287784
GFS_3888	70.6	2.04	3900957	5412715.973371105	5525434.844192635
GFS_3889	94.5	0.61	4181122	4397478.471746032	4424467.724867725
GFS_3895	86.53	1.97	4664162	5284037.915867329	5390225.355368081
GFS_3922	70.71	4.8	3687008	4963981.920520436	5214266.723235752
GFS_3927	88.19	8.88	4059308	4194173.3185168384	4602911.89477265
GFS_3956	90.6	0.93	2604529	2848020.8391832234	2874756.070640177
GFS_3957	85.76	2.72	2854141	3237533.074626865	3328056.2033582083
GFS_3960	80.25	1.85	5361217	6557052.3183800625	6680644.236760125
GFS_3976	77.82	3.28	2198291	2732185.884348497	2824840.6579285534
GFS_3984	91.57	0.92	2713915	2936493.37337556	2963759.9650540575
GFS_3985	79.52	1.33	1686852	2093079.562877264	2121292.756539236
GFS_3993	73.75	2.05	2450226	3254232.362033898	3322340.3389830505
GFS_3998	72.83	5.21	3496591	4550897.444597007	4801031.16847453
GFS_4002	77.73	3.12	6267225	7811253.801620997	8062813.585488229
GFS_4010	82.16	0.97	2599491	3133247.2459834465	3163937.439143135
GFS_4011	78.59	0.64	3801620	4806323.491538364	4837282.096958901
GFS_4015	77.68	3.42	5356739	6660065.044026776	6895904.994850669
GFS_4018	79.24	8.79	2931900	3374793.0212014136	3700025.23977789
GFS_4022	98.2	0.01	3499691	3563483.7381873727	3563840.1221995926
GFS_4024	72.63	2.66	3956809	5302984.828032494	5447898.939832025
GFS_4032	80.55	4.9	6456746	7623048.3500931095	8015823.711980137
GFS_4039	92.29	0.72	1735892	1867367.6211940623	1880910.174450103
GFS_4040	94.17	2.23	4346044	4512187.765530424	4615104.598067326
GFS_4042	72.53	2.28	3109449	4189374.8280711425	4287121.191231214
GFS_4045	98.97	9	4580425	4211565.878549055	4628094.372031929
GFS_4065	95.64	0.04	833422	871067.1593475533	871415.7256378083
GFS_4079	93.03	4.31	5586221	5745947.409330323	6004752.2304632915
GFS_4080	81.86	2.12	3183664	3806706.967016858	3889157.0974835083
GFS_4082	99.14	4.14	5048734	4881699.024006455	5092529.755900746
GFS_4088	96.37	8.42	10051293	9551700.871017952	10429898.308602262
GFS_4112	89.35	3.35	4780913	5171519.210408507	5350770.005595972
GFS_4118	90.86	0.39	4580426	5021530.198767334	5041190.84305525
GFS_4127	73.9	1.27	2297766	3069802.938836265	3109290.933694181
GFS_4128	89.12	0.16	3230242	3618798.9371633753	3624598.2944344706
GFS_4138	74.12	3.71	5859980	7612755.992984349	7906071.235833783
GFS_4145	88.14	4.36	4103964	4453178.091218516	4656187.882913547
GFS_4189	82.02	0.85	3284244	3970163.2845647405	4004198.9758595466
GFS_4193	91.92	0.93	4311645	4647026.437663185	4690649.477806789
GFS_4219	96.87	2.83	5924183	5942529.803964075	6115601.321358521
GFS_4233	99.47	2.12	2486820	2447068.881069669	2500070.3729767767
GFS_4274	70.28	2.03	2951852	4114868.247581104	4200130.904951622
GFS_4286	97.87	0.47	3586213	3647039.745478696	3664261.7758250744
GFS_4290	99.22	0.85	3062179	3060018.6237653703	3086251.763757307
GFS_4292	80.01	1.45	2625585	3233988.2733408324	3281571.0536182974
GFS_4302	78.68	1.72	2219136	2771945.6797153023	2820457.54956787
GFS_4306	98.32	2.69	3086186	3054482.909479252	3138919.8535394636
GFS_4320	92.15	2.05	2846369	3025521.9050461203	3088843.1904503526
GFS_4323	99.98	0.69	2886718	2867373.120424085	2887295.4590918184
GFS_4334	79.68	6.09	4716866	5559248.068022088	5919761.546184738
GFS_4335	70.34	9.41	1653794	2129900.4614728466	2351143.0196189936
GFS_4339	92.34	0.04	866760	938286.0038986355	938661.4684860299
GFS_4345	81.27	1.1	3432248	4176809.735449736	4223265.657684263
GFS_4374	88.76	4.74	3624303	3889715.004281207	4083261.6043262724
GFS_4384	77.53	5.05	6252003	7656748.16006707	8063979.104862633
GFS_4394	99.95	8.66	3806540	3478632.9524762384	3808444.2221110556
GFS_4401	76.2	1.93	3252718	4186273.6779527557	4268658.7926509185
GFS_4411	88.43	0.06	1438778	1626048.5504919144	1627024.765351125
GFS_442	78.99	6.89	3773670	4448239.191036841	4777402.202810483
GFS_4421	95.78	4.71	2959920	2944777.3731467947	3090332.010858217
GFS_4440	70.87	9.2	840930	1077415.6060392268	1186581.0639198532
GFS_4441	75.71	6.09	948556	1176580.292695813	1252880.7290978737
GFS_4442	84.88	1.17	1166542	1358262.7928840716	1374342.60131951
GFS_4443	72.4	1.58	2529020	3437930.2265193365	3493121.5469613257
GFS_4453	70.35	1.77	3232741	4513889.814214641	4595225.302061124
GFS_4463	91.61	2.96	4477649	4743052.712149329	4887729.505512498
GFS_449	85.27	2.76	2812005	3206747.5806262465	3297765.920018764
GFS_4518	78.99	2.31	4231677	5233479.252183821	5357231.295100646
GFS_4519	78.71	1.96	2037563	2537958.029729387	2588696.480752128
GFS_4520	71.21	3	2438030	3321007.0214857464	3423718.578851285
GFS_4522	74.65	1.06	4767160	6318322.979236436	6386014.735432016
GFS_4523	78.93	3.41	3639930	4454337.244393766	4611592.550361079
GFS_4538	90.22	0.32	1975808	2182980.9514520066	2189988.9159831526
GFS_4539	74.75	1.75	3221164	4233837.632107023	4309249.498327759
GFS_4547	86.01	3.24	4176268	4698240.805487733	4855560.981281246
GFS_455	93.74	0.11	494623	527073.7302112227	527654.1497759762
GFS_4605	73.93	2.03	1826085	2419877.552414446	2470018.9368321383
GFS_4616	86.58	2.74	2409954	2707231.762993763	2783499.6534996536
GFS_4620	76.69	7.48	4068990	4908892.356239405	5305763.463293781
GFS_4626	80.49	5.16	2705062	3187328.6132438816	3360742.9494347125
GFS_4627	92.89	1.88	7107874	7508069.726342986	7651925.9339003125
GFS_4630	71.21	3.55	2268054	3071953.4938913076	3185021.766605814
GFS_4648	83.94	3.29	2030241	2339106.5893495353	2418681.2008577557
GFS_4656	90.97	4.17	7489037	7889132.853797955	8232424.975266571
GFS_4681	85.35	2.34	4778104	5467248.232454599	5598247.217340363
GFS_4682	84.22	9.49	3489753	3750386.4168843506	4143615.53075279
GFS_4690	74.49	0.51	2854914	3813067.443415224	3832613.7736608945
GFS_4694	89.62	2.08	3023663	3303694.2753849584	3373870.7877705866
GFS_4696	81.07	0.85	2047621	2504275.590847416	2525744.4184038485
GFS_4697	71.13	0.44	1667857	2334483.9437649376	2344801.068466189
GFS_4702	70.64	2.46	2510833	3466968.443091733	3554406.851642129
GFS_4707	88.87	1.63	3539597	3917971.8340272307	3982892.989760324
GFS_4712	89.54	2.23	1499523	1637350.499329908	1674696.2251507703
GFS_4714	94.17	3.57	3486525	3570198.6381013067	3702373.367314432
GFS_4720	75.9	1.01	2686353	3503584.762450592	3539332.015810276
GFS_4721	76.24	1.56	3422542	4419137.38824764	4489168.415529906
GFS_4722	75.02	5.49	2106948	2654327.5857104775	2808515.06264996
GFS_4723	71.19	6.24	1716733	2261004.159011097	2411480.545020368
GFS_4725	81.79	1.57	4523794	5444150.182418387	5530986.67318743
GFS_4729	99.86	0.41	2906752	2898892.766673343	2910827.15802123
GFS_473	71.33	2.72	1996768	2723196.2854338987	2799338.2868358335
GFS_4730	74.26	0.59	2264987	3032081.3044707784	3050076.757339079
GFS_4736	82.75	4.28	2429398	2810174.9433232625	2935828.3987915404
GFS_4738	77.57	0.8	568525	727055.3048859095	732918.6541188605
GFS_475	83.09	1.63	1872903	2217324.203995667	2254065.471175833
GFS_4752	73.9	3.96	1954154	2539606.90338295	2644322.0568335587
GFS_4757	74.04	3.97	2101337	2725437.494732577	2838110.4808211774
GFS_4758	73.93	3	3038464	3986622.5889354786	4109920.1947788442
GFS_4789	77	6.08	2082865	2540554.296103896	2705019.4805194805
GFS_4791	100	2.38	3319043	3240049.7766	3319043
GFS_48	88.57	8.32	2141850	2217057.784802981	2418256.74607655
GFS_480	83.44	0.83	2727677	3241895.1113374885	3269028.044103548
GFS_4809	90.26	3.44	4745716	5076959.195213826	5257828.495457566
GFS_4810	76.63	1.58	3800956	4881770.710165732	4960140.936969856
GFS_4813	71.68	2.31	2720688	3707924.256696428	3795602.678571428
GFS_4821	94.15	2.05	3124847	3250969.34306957	3319009.0281465747
GFS_4827	79.5	3	4203290	5128542.515723269	5287157.232704402
GFS_4844	73.19	2.66	2968281	3947704.2292662933	4055582.729881131
GFS_4857	83.47	1.49	2224442	2625251.963819336	2664959.865820055
GFS_4863	84.51	2.1	2402959	2783690.5230150274	2843401.964264584
GFS_4901	78.29	0.18	2283699	2911723.5174351768	2916974.0707625495
GFS_4902	73.79	5.03	4970082	6396648.428513349	6735441.116682477
GFS_4915	75.63	3.09	2457538	3149015.041385693	3249422.1869628453
GFS_4930	72.05	0.46	2267483	3132619.8170714783	3147096.4607911175
GFS_4931	76.25	2.44	3069106	3926845.6571803275	4025057.0491803274
GFS_4933	77.35	0.84	2579378	3306672.5595345832	3334683.9043309633
GFS_4934	99.66	0.78	3949059	3931623.860927152	3962531.607465382
GFS_4936	75.77	4.5	7177149	9046030.480401216	9472283.225551011
GFS_4937	76.51	2.93	2603519	3303144.5475101294	3402847.9937263103
GFS_4946	94.52	0.62	779942	820044.8154887856	825160.8125264496
GFS_4950	79.12	4.42	2707597	3270881.2090495448	3422139.7876643073
GFS_4958	88.79	2.4	3649868	4012018.43450839	4110674.6255208915
GFS_4959	88.04	0.52	3686101	4165076.4139027707	4186848.023625624
GFS_4964	76.6	7.62	4316782	5206061.633942558	5635485.639686684
GFS_4996	83.98	2.31	2481793	2886953.538580614	2955219.099785663
GFS_5096	83.45	0.78	3660578	4352337.317675255	4386552.426602757
GFS_5127	84.99	1.47	2944532	3413633.8152723853	3464562.889751736
GFS_5130	75.14	5.22	4307451	5433327.199627362	5732567.207878627
GFS_5143	70.39	9.26	2628928	3388960.4591561304	3734803.2390964627
GFS_5180	96.57	1.05	3087563	3163657.0244382313	3197227.917572745
GFS_5198	78.34	6.59	652459	777970.3241000766	832855.5016594332
GFS_5233	80.9	0.88	845759	1036237.7265760195	1045437.5772558713
GFS_5272	74.11	1.02	427563	571045.550398057	576930.2388341655
GFS_5273	87.24	0.35	783032	894419.2893168272	897560.7519486474
GFS_5274	92.26	3.74	5212785	5438789.118794709	5650102.969867764
GFS_5278	89.67	5.19	3811960	4030466.4614698337	4251098.472175756
GFS_5282	93.6	0.52	3153256	3351345.1589743593	3368863.247863248
GFS_5288	84.39	0.13	658604	779414.4031283327	780428.9607773433
GFS_5289	77.09	4.69	4047722	5004389.464521987	5250644.7009988325
GFS_5291	87.48	1.53	3301958	3716778.740969364	3774529.035208047
GFS_5294	73.08	2.16	4047930	5419396.157635468	5539039.408866995
GFS_5300	81.32	1.81	4542889	5485320.596532218	5586435.0713231675
GFS_5301	99.71	5.07	3548982	3378847.2696820786	3559303.9815464853
GFS_5304	74.56	0.94	4522770	6008926.9876609435	6065946.888412016
GFS_5321	94.8	2.06	7100064	7335234.896202532	7489518.987341772
GFS_5326	72.66	2.54	2661261	3569591.2064409577	3662621.8001651526
GFS_5333	85.27	1.8	3808878	4386440.947578281	4466844.142136742
GFS_5337	89.24	1.16	4314772	4778933.936351412	4835020.170327208
GFS_5351	75.77	2.23	1834353	2366961.7633628086	2420948.9243764025
GFS_5367	71.11	1.74	2970074	4104056.690198284	4176731.823934749
GFS_5370	86.79	1.94	1688915	1908226.8106924759	1945978.7994008523
GFS_5371	95.88	1.95	5014436	5127925.008343763	5229908.218606591
GFS_5396	92.21	0.71	7210828	7764484.460687562	7820006.506886455
GFS_541	81.88	1.94	2621325	3139315.2112848074	3201422.813873962
GFS_5413	71.22	2.89	4110414	5604637.791912383	5771432.181971356
GFS_5427	76.34	0.25	1381329	1804919.6718627196	1809443.2800628766
GFS_5438	81.98	2.49	3598210	4279842.121249085	4389131.495486705
GFS_5441	83.33	2.34	5385482	6311606.529701188	6462836.913476539
GFS_5453	85.64	5.35	4765677	5267063.615716955	5564779.308734236
GFS_5455	79.82	2.95	4316257	5247967.199323478	5407488.0982209975
GFS_5457	97.73	1.19	3059320	3093128.09986698	3130379.617313005
GFS_5459	86.82	2.78	3693906	4136391.860400829	4254671.734623359
GFS_5463	84.75	0.42	2278239	2676897.2226548675	2688187.610619469
GFS_5468	96.35	0.05	6410202	6649711.363777894	6653037.882719253
GFS_5469	92.54	0	3657602	3952455.1545277718	3952455.1545277718
GFS_5475	84.12	2.91	3045879	3515506.3256062763	3620873.7517831665
GFS_5479	76.4	2.03	4267674	5472565.730104712	5585960.732984293
GFS_5483	90.71	3.69	5448917	5785306.981258958	6006963.951052806
GFS_5495	72.09	4.88	2911006	3840961.16964905	4038016.3684283537
GFS_5502	86.67	2.66	3525772	3959832.0812276457	4068041.998384678
GFS_5507	89.94	1.77	6268231	6845989.894707583	6969347.342672894
GFS_5508	96.92	1.45	5803038	5900633.459554272	5987451.506397028
GFS_5510	70.24	4.23	4515165	6156283.485905467	6428196.184510251
GFS_5521	75.68	5.58	3140518	3918177.9804439745	4149733.0866807606
GFS_5522	88.76	0.29	709261	796759.9629337538	799077.2870662459
GFS_5523	71.34	9.02	6073835	7745970.119147743	8513926.26857303
GFS_5529	84.62	0.08	1078067	1272990.4826282202	1274009.6903805246
GFS_5549	79.18	2.62	1544188	1899128.914372316	1950224.8042434957
GFS_5551	97.76	0.4	2877861	2932026.9599018	2943802.1685761046
GFS_5552	75.25	2.06	3016503	3926063.838139535	4008641.8604651163
GFS_5572	71.41	5.79	1682301	2219431.1330345892	2355833.916818373
GFS_5581	96.33	0.22	6228273	6451334.786047961	6465559.015882903
GFS_5603	83.76	0.36	4720478	5615430.132760267	5635718.720152817
GFS_5604	75.17	3.93	1509583	1929302.0993747504	2008225.3558600503
GFS_5614	70.2	1.51	1484234	2082367.6162393163	2114293.4472934473
GFS_5624	93.4	2.31	3741323	3913167.4932548176	4005699.1434689504
GFS_5625	97.49	0	2837075	2910118.9865627247	2910118.9865627247
GFS_5629	99.01	0.08	3384745	3415854.1601858395	3418589.0314109684
GFS_5632	91.42	8.72	4186175	4179764.318529862	4579058.192955589
GFS_5639	100	0.5	5493099	5465633.505	5493099
GFS_5646	84.83	2.61	2691766	3090311.101497112	3173129.788989744
GFS_5650	97.17	2	4031580	4066016.6718122875	4148996.6038900893
GFS_5652	100	0.42	4212082	4194391.2556	4212082
GFS_5653	92.21	0.15	2817300	3050725.572063768	3055308.5348660666
GFS_5655	91.8	3.12	2913717	3074955.3699346404	3173983.6601307187
GFS_5656	80.41	2.88	3716345	4488638.557393359	4621744.807859719
GFS_5662	79.11	1.73	3200719	3975915.25888004	4045909.493110858
GFS_5683	85.63	2.24	4870243	5560141.955856593	5687542.917201916
GFS_5684	77.31	5.19	3192185	3914772.472513258	4129071.2715043332
GFS_5685	90.27	2.14	2966782	3216232.2645397144	3286564.750193863
GFS_5686	100	1.13	2177790	2153180.973	2177790
GFS_5687	81.23	0.81	1125453	1374291.3094915673	1385513.9726701959
GFS_5688	98.55	3.35	9465322	9282834.817858955	9604588.533739218
GFS_5689	99.9	4.29	8073141	7734537.7888888875	8081222.222222221
GFS_5691	85.39	0.2	3542695	4140542.932427685	4148840.613654995
GFS_5699	70.39	5.07	2447125	3300263.9046739596	3476523.653928115
GFS_5704	70.26	3.27	4144789	5706311.414318246	5899215.7699971525
GFS_5712	90.04	8.19	6188402	6310053.172145712	6872947.578853842
GFS_573	73.08	5.51	2863944	3702983.97044335	3918916.2561576357
GFS_5730	70.56	8	1826282	2381206.689342404	2588268.140589569
GFS_5737	88.35	3.42	4470392	4886819.0080362195	5059866.440294284
GFS_5742	86.31	0.05	689401	798350.4802456263	798749.8551732128
GFS_5743	95.61	4.8	4198426	4180422.081372242	4391199.665306977
GFS_5745	92.49	1.89	4605525	4885372.015893609	4979484.268569575
GFS_5746	86.68	2.46	3330895	3748217.562298108	3842749.1924319332
GFS_5747	70.33	0.93	3768450	5308408.097540168	5358239.72700128
GFS_5748	95.71	7.61	5530926	5339068.573189844	5778838.156932401
GFS_5749	81.87	2.32	2219656	2648296.0556980576	2711195.7982166847
GFS_5756	82.25	0.43	2738131	3314719.8014589665	3329034.650455927
GFS_5757	72.43	3.18	3050249	4077386.555018638	4211306.0886373045
GFS_5763	78.96	6.48	3447619	4083350.163120568	4366285.460992908
GFS_5764	78.56	0.71	3201120	4045814.725050916	4074745.4175152746
GFS_5765	70.53	4.76	2443415	3299459.0188572244	3464362.6825464345
GFS_5770	80.8	1.42	3060050	3733412.4876237623	3787190.594059406
GFS_5775	74.26	8.32	2954080	3647051.6347966604	3978023.161863722
GFS_5782	94.47	0.02	951893	1007412.5345612364	1007614.0573727109
GFS_5785	71.99	0.9	2226716	3065252.890679261	3093090.707042645
GFS_5796	98.34	1.24	1186567	1191634.7053081149	1206596.5019320725
GFS_5800	72.6	2.3	2759187	3713120.7975206613	3800533.05785124
GFS_5801	84.37	7.28	3882827	4267105.836671803	4602141.756548536
GFS_5804	78.96	1.86	3886441	4830487.838652482	4922037.740628166
GFS_5806	85.39	2.47	4929578	5630422.090877152	5773015.575594332
GFS_5813	86.33	2.1	3096602	3511610.515463917	3586936.175141897
GFS_5816	81.14	2.26	1093296	1316967.599704215	1347419.275326596
GFS_5817	96.88	1	5161736	5274688.934764658	5327968.620974402
GFS_5822	84.19	0.01	2249368	2671508.5677633923	2671775.7453379263
GFS_5823	80.23	2.69	3403290	4127809.42166272	4241916.98865761
GFS_5830	82.31	3.53	5752084	6741629.734904629	6988317.336897097
GFS_5832	80.7	1.03	3342127	4098764.673977695	4141421.313506815
GFS_5845	74.84	1.91	4942306	6477696.359433458	6603829.502939604
GFS_5847	78.64	0.46	2234776	2828708.0752797555	2841780.264496439
GFS_5851	78.47	0.12	2362057	3006528.012743724	3010140.180960877
GFS_5860	82.88	1.4	2750146	3271771.182432433	3318226.351351352
GFS_5862	96.3	2.01	4717105	4799887.008826584	4898343.717549325
GFS_5889	97.22	3.4	6766403	6723251.695124459	6959887.883151615
GFS_5928	89.4	0.84	3064408	3398956.3454138706	3427749.440715884
GFS_5930	86.86	0.11	686513	789497.8536725766	790367.2576559982
GFS_5931	82.68	6.63	6394377	7221129.420537009	7733886.066763424
GFS_5937	90.9	0.98	2891535	3149832.735973597	3181006.6006600657
GFS_5943	73.95	2.51	2322685	3062049.501690331	3140885.733603786
GFS_5953	77.04	5.74	2120878	2594937.179127726	2752956.9055036344
GFS_5954	73.11	8.48	4628263	5793716.72493503	6330547.120776911
GFS_5956	71.37	1.08	1431694	1984351.554995096	2006016.5335575172
GFS_5961	77.21	1.34	2596781	3318202.479730605	3363270.3017743817
GFS_5964	89.03	4.57	4672772	5008678.332696844	5248536.4483881835
GFS_5966	88.97	3.26	3455962	3757780.868607396	3884412.723389907
GFS_5967	74.35	3.04	2916905	3803942.2837928715	3923207.800941493
GFS_5972	88.18	3	2435977	2679629.9501020634	2762505.1031980035
GFS_5974	96.09	2.48	2723765	2764299.7481527734	2834597.77292122
GFS_5977	97.42	0.44	3271931	3343804.6639293777	3358582.426606446
GFS_5980	93.81	2.39	3675009	3823874.0911416695	3917502.398464983
GFS_5985	77.17	1.16	3261652	4177551.9460930405	4226580.277309835
GFS_5988	77.57	0.63	1920371	2460065.3122341116	2475661.982725281
GFS_5990	83.22	0.72	1900263	2266980.4210526315	2283421.052631579
GFS_5997	85.64	2.18	3226509	3685393.6289117234	3767525.6889304062
GFS_6001	79.78	2.27	2104307	2577762.886813737	2637637.252444221
GFS_6009	91.28	0.15	2757963	3016899.7102322527	3021431.8580192816
GFS_6010	89	1.62	2557378	2826908.4004494385	2873458.4269662923
GFS_6016	76.87	1.48	3144058	4029564.1233250936	4090097.5673214514
GFS_6018	96.33	0.34	2636500	2727640.298972283	2736945.915083567
GFS_6019	77.19	1.58	2413313	3077060.0525974864	3126458.090426221
GFS_6021	77.59	5.71	2245061	2728274.2839283408	2893492.7181337797
GFS_6026	79.77	0.98	2207484	2740191.3711921778	2767311.0191801433
GFS_6050	70.46	2.18	2928685	4065909.263411865	4156521.4305989216
GFS_6063	89.29	1.89	1172102	1287881.366558405	1312691.2308209206
GFS_6091	78.29	0.21	2801863	3571310.6242176523	3578826.159151871
GFS_6100	77.11	3.58	3656483	4572144.86914797	4741905.070678252
GFS_6107	74.15	3.51	4536633	5903435.174241402	6118183.412002697
GFS_6108	94.17	3.95	650519	663505.8930657322	690792.1843474568
GFS_6110	77.17	1.72	3749755	4775507.598807827	4859083.840870804
GFS_6112	73.67	0.46	492897	665982.9968779692	669060.6759875119
GFS_6115	78.75	0.73	1041895	1313383.0685714285	1323041.2698412698
GFS_6116	87.56	8.29	2119378	2219828.1907263594	2420486.523526725
GFS_6130	77.61	2.18	1143125	1440799.9935575314	1472909.4188893186
GFS_6131	71.83	2.68	2916100	3950923.7366003064	4059724.349157734
GFS_6143	94.29	1.14	1077120	1129325.3070314985	1142348.0750874958
GFS_6146	90.16	0.23	681285	753902.0014418812	755639.9733806567
GFS_6178	73.36	4.7	2523519	3278235.560250818	3439911.395856052
GFS_6183	74.73	6.75	3976716	4962247.651545565	5321445.202729828
GFS_6184	70.19	6.19	4077089	5449091.310585554	5808646.5308448495
GFS_6186	77.72	7.62	4101916	4875643.336078229	5277812.660833762
GFS_6187	81.87	7.25	2047100	2319146.512764138	2500427.5070233294
GFS_6197	70.49	1.93	2069817	2879656.0248262165	2936327.13860122
GFS_6199	74.3	2.02	3617039	4769818.051413191	4868154.777927322
GFS_6203	78.29	0.28	3550480	4522338.301187891	4535036.403116617
GFS_6216	76.63	4.55	2902969	3615925.7607986433	3788293.0966984215
GFS_6217	76.94	4.37	7585612	9428282.760072784	9859126.592149727
GFS_6222	77.33	4.84	2593996	3192094.3923444976	3354449.76076555
GFS_6261	93.22	1.97	5645436	5936731.292426518	6056035.185582493
GFS_6266	77.77	0.89	3838750	4892098.656294201	4936029.317217436
GFS_6270	74.55	6.76	3289163	4113770.061971831	4412022.803487592
