protein	query length	HMM	HMM length	e-value	score	hmmbegin	hmmend	begin	end	coverage	num domaine	prediction confidence	EC prediction	comment
GL44_UP_metabat_155_336_1	412	S1_14	426	8e-163	534.4	48	422	1	399	87.8	1	high		
GFS_6987_295_2	486	S1_28	445	3.2e-173	568.9	2	441	22	451	98.7	1	high		
GL73_DN_concoct_173_sub_522_1	334	S1_8	443	6.5e-95	310.7	125	422	19	327	67.0	1	high	3.10.1.1 3.1.6.- 	
GL48_Down_concoct_139_521_1	131	S1_20	444	2.8e-51	167.0	2	103	30	131	22.7	1	probable fragment		
GFS_13405_6_8	509	S1_11	498	7.5e-220	723.3	6	487	21	498	96.6	1	high	3.1.6.11 3.1.6.14 	
GFS_11779_74_1	344	S1_16	444	8e-90	293.8	194	438	2	244	55.0	1	probable fragment		
GL140_5_metabat_326_sub_347_3	500	S1_27	454	6.4e-176	578.1	2	449	25	496	98.5	1	high	3.1.6.12 3.1.6.- 	
GL106_DN_concoct_40_57_1	177	S3	508	1.6e-67	220.6	6	165	15	176	31.3	1	probable fragment		
GL127_UP_concoct_103_480_1	287	S1_7	456	1.1e-73	241.0	253	449	2	204	43.0	1	probable fragment		
GL124_UP_concoct_88_630_1	219	S1_34	450	2e-100	329.1	2	199	21	218	43.8	1	high		
GFS_12823_143_16	510	S1_12	481	6.4e-222	730.0	2	478	10	486	99.0	1	high	3.1.6.6 3.1.6.- 	
GL117_UP_metabat_119_315_6	556	S1_7	456	1.4e-171	563.7	2	450	19	479	98.2	1	high	3.1.6.13 3.1.6.- 	
GL75_DN_concoct_31_932_2	588	S1_17	425	5.7e-159	521.8	2	420	27	439	98.4	1	high	3.1.6.- 	
GL74_DN_concoct_140_457_16	476	S1_20	444	6.2e-164	538.4	2	434	26	466	97.3	1	high		
GFS_1844_521_6	505	S1_27	454	3.6e-160	526.2	2	452	59	487	99.1	1	high	3.1.6.12 3.1.6.- 	
GFS_6449_350_1	500	S1_12	481	4.8e-220	723.8	2	481	4	487	99.6	1	high	3.1.6.6 3.1.6.- 	
GL82_DN_concoct_65_921_9	441	S1_18	426	1.1e-208	685.5	2	423	8	433	98.8	1	high		
GL106_DN_concoct_81_527_2	297	S1_17	425	7.8e-134	438.9	2	288	2	294	67.3	1	high	3.1.6.- 	
GL140_5_metabat_2_sub_380_8	497	S1_20	444	3.2e-124	407.5	3	428	56	484	95.7	1	high		
GL16_UP_concoct_134_209_5	511	S1_28	445	2.1e-137	450.9	2	442	23	487	98.9	1	high		
GFS_7177_330_3	468	S1_32	423	1.5e-161	530.1	2	409	31	452	96.2	1	high		
GL117_UP_metabat_119_103_6	475	S1_16	444	2.4e-162	532.8	2	438	19	461	98.2	1	high		
GL32_Down_concoct_208_sub_614_6	519	S1_17	425	4.2e-170	558.4	2	413	33	460	96.7	1	high	3.1.6.- 	
GL51_DN_metabinner_15_sub_145_8	654	S1_13	476	2.6e-134	441.0	1	459	21	456	96.2	1	high		
GL48_Down_concoct_139_0_3	513	S1_7	456	1.9e-171	563.3	2	444	27	494	96.9	1	high	3.1.6.13 3.1.6.- 	
GFS_7148_738_1	451	S1_19	430	9.9e-164	537.3	2	426	26	442	98.6	1	high	3.1.6.- 	
GL140_2_metabinner_33_67_2	487	S1_14	426	1.1e-192	632.9	3	421	25	470	98.1	1	high		
GFS_12827_211_13	487	S1_11	498	1.1e-110	695.3	5	488	22	479	97.0	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 261 to 479 score 363.2 fragment 2 from 22 to 259 score 332.1
GL53_Down_metabinner_1_49_1	425	S1_27	454	2e-102	335.8	45	447	1	389	88.5	1	high	3.1.6.12 3.1.6.- 	
GFS_3178_330_2	407	S1_11	498	6.3e-79	587.4	6	417	20	406	82.5	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 259 to 406 score 258.5 fragment 2 from 20 to 256 score 328.9
GL74_UP_metabat_64_316_12	511	S1_28	445	3e-139	456.9	2	442	23	488	98.9	1	high		
GFS_2415_160_29	494	S1_7	456	9.5e-150	491.8	3	445	22	456	96.9	1	high	3.1.6.13 3.1.6.- 	
GL75_DN_concoct_134_192_1	224	S1_12	481	3.9e-80	262.4	278	478	3	200	41.6	1	probable fragment		
GL73_DN_metabat_76_173_1	132	S1_25	440	1.6e-42	138.4	306	434	2	130	29.1	1	probable fragment		
GL72_DN_concoct_9_sub_438_4	789	S1_8	443	6.8e-152	498.5	2	427	21	482	95.9	1	high	3.10.1.1 3.1.6.- 	
GL51_DN_concoct_123_911_3	452	S1_15	471	1.3e-157	517.8	3	467	2	450	98.5	1	high	3.1.6.4 	
GFS_5985_427_5	506	S1_12	481	1e-230	759.0	2	480	3	481	99.4	1	high	3.1.6.6 3.1.6.- 	
GL74_UP_metabat_64_138_1	199	S1_32	423	6.6e-74	241.3	2	163	38	199	38.1	1	probable fragment		
336R_concoct_189_sub_46_4	340	S1_4	536	2.9e-53	173.6	372	518	1	150	27.2	1	probable fragment		
GFS_6317_402_2	464	S1_53	474	3.7e-84	275.7	3	381	15	406	79.7	1	probable fragment		
GFS_9164_650_4	168	S1_25	440	3.3e-56	183.5	2	153	24	168	34.3	1	probable fragment		
GL47_Down_concoct_66_333_4	508	S1_24	410	4.4e-126	413.6	2	403	22	401	97.8	1	high		
GFS_6987_66_5	471	S1_26	443	4.2e-140	460.0	2	438	25	462	98.4	1	high		
GL47_Down_concoct_66_1139_1	369	S1_7	456	5.5e-101	331.0	102	446	1	331	75.4	1	high	3.1.6.13 3.1.6.- 	
GL88_UP_metabat_53_15_17	478	S1_14	426	6.4e-194	636.9	2	421	31	463	98.4	1	high		
GFS_5502_245_4	490	S1_20	444	5.7e-169	554.9	2	438	59	480	98.2	1	high		
GL117_UP_metabat_119_197_6	486	S1_14	426	1.3e-184	606.2	2	422	20	473	98.6	1	high		
GFS_9464_397_3	489	S1_37	447	1.6e-202	665.6	1	447	6	456	99.8	1	high		
GL14_Down_metabat_54_105_3	508	S1_12	481	4.2e-223	733.9	2	480	3	481	99.4	1	high	3.1.6.6 3.1.6.- 	
GL16_UP_concoct_134_629_5	501	S1_17	425	4.6e-167	548.4	3	411	29	453	96.0	1	high	3.1.6.- 	
GFS_1125_122_33	437	S1_25	440	1.4e-155	510.9	2	434	3	434	98.2	1	high	3.1.6.- 	
GL139_DN_metabinner_2_233_6	466	S1_14	426	4.2e-171	561.7	2	419	20	438	97.9	1	high		
GL106_DN_concoct_81_381_2	303	S1_28	445	7.5e-114	373.2	157	439	12	295	63.4	1	high		
GFS_5441_946_1	404	S1_21	416	3.9e-151	495.8	33	415	1	395	91.8	1	high		
GL72_DN_concoct_184_265_1	236	S1_25	440	1.8e-91	299.7	204	434	2	234	52.3	1	probable fragment		
GL85_DN_metabat_129_sub_192_74	509	S1_11	498	8.7e-223	733.0	6	489	21	500	97.0	1	high	3.1.6.11 3.1.6.14 	
GL140_5_metabinner_64_291_11	494	S1_7	456	4.6e-185	608.2	2	448	35	488	97.8	1	high	3.1.6.13 3.1.6.- 	
GL130_UP_concoct_108_sub_702_3	547	S1_7	456	1.7e-168	553.6	2	447	20	474	97.6	1	high	3.1.6.13 3.1.6.- 	
GFS_5441_970_3	454	S1_24	410	8.7e-162	531.2	2	406	25	423	98.5	1	high		
GL85_DN_metabat_129_sub_98_2	594	S1_16	444	4.6e-182	597.8	2	438	21	459	98.2	1	high		
GFS_7934_163_3	505	S1_12	481	2.7e-231	760.9	2	480	3	480	99.4	1	high	3.1.6.6 3.1.6.- 	
GL53_Down_metabinner_17_355_16	483	S1_7	456	3.2e-157	516.4	2	449	46	473	98.0	1	high	3.1.6.13 3.1.6.- 	
GFS_5689_138_1	522	S1_15	471	2.9e-98	521.8	200	469	41	499	57.1	1	high	3.1.6.4 	fusion of 2 fragments from 41 to 224 score 199.7 and from 223 to 499 score 322.1
GFS_5943_185_1	253	S1_7	456	1.3e-80	263.8	238	448	6	249	46.1	1	probable fragment		
GL106_DN_concoct_81_288_2	253	S1_55	499	8.2e-109	356.7	251	498	1	248	49.5	1	high		
GFS_5321_98_9	365	S1_11	498	1.5e-48	463.9	6	377	22	365	74.5	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 254 to 365 score 158.2 fragment 2 from 22 to 246 score 305.7
GFS_5712_469_1	461	S1_25	440	1.7e-157	517.3	2	429	26	456	97.0	1	high	3.1.6.- 	
GFS_11075_842_2	548	S1_56	526	9.1e-209	686.7	2	525	2	546	99.4	1	high		
GL130_UP_concoct_108_sub_575_2	524	S1_15	471	1.1e-170	560.9	3	469	19	497	98.9	1	high	3.1.6.4 	
GL74_DN_metabinner_11_1013_5	548	S1_4	536	7.5e-161	528.7	3	505	42	540	93.7	1	high	3.1.6.1 	
GL130_UP_metabinner_7_sub_482_2	504	S1_6	469	8.4e-143	469.1	3	450	61	502	95.3	1	high	3.1.6.1 3.1.6.14 3.1.6.- 	
GL117_UP_concoct_203_273_35	473	S1_17	425	1.8e-167	549.8	2	414	22	450	96.9	1	high	3.1.6.- 	
GL75_DN_concoct_31_377_2	484	S1_34	450	6.3e-180	591.1	2	419	20	431	92.7	1	several good hits		 good hit with these HMMs: S1_34(591.1);S1_36(501.6);S1_35(451.8);S1_25(371.7);S1_6(317.0)
GFS_5817_142_6	515	S1_58	502	3.6e-248	816.8	1	499	5	507	99.2	1	high		
GL74_DN_concoct_94_735_1	227	S1_58	502	3.4e-96	315.5	283	498	2	218	42.8	1	high		
GL35_DN_concoct_8_77_9	131	S1_7	456	2.4e-51	167.4	258	372	1	115	25.0	1	probable fragment		
GL51_DN_metabinner_15_sub_122_15	475	S1_20	444	6.8e-203	666.8	2	436	30	473	97.7	1	high		
GL65_UP_concoct_5_33_28	483	S1_11	498	6.8e-209	687.2	16	485	1	463	94.2	1	high	3.1.6.11 3.1.6.14 	
GL115_DN_concoct_119_sub_199_3	225	S1_4	536	2.4e-66	216.8	2	148	73	221	27.2	1	probable fragment		
GL75_DN_concoct_31_176_6	517	S1_8	443	8.5e-154	504.8	2	433	19	446	97.3	1	high	3.10.1.1 3.1.6.- 	
GL26_DN_concoct_27_79_15	258	S1_20	444	8.6e-92	300.6	193	435	1	255	54.5	1	high		
GL61_DN_concoct_141_sub_72_22	165	S1_18	426	4.7e-51	166.2	281	420	1	140	32.6	1	probable fragment		
GL117_UP_metabat_119_138_38	464	S1_14	426	4.7e-171	561.5	2	421	17	445	98.4	1	high		
337R_metabinner_31_145_6	638	S1_16	444	2.1e-156	513.3	3	438	20	477	98.0	1	high		
GFS_12554_67_11	201	S1_25	440	7e-83	271.4	236	434	1	199	45.0	1	probable fragment		
GFS_12824_732_3	482	S1_14	426	2.5e-183	602.0	2	423	26	470	98.8	1	high		
GL124_DN_metabinner_32_sub_544_2	602	S1_13	476	2.8e-194	638.8	2	472	92	593	98.7	1	high		
GFS_168_533_5	301	S1_37	447	7.7e-101	330.5	9	238	1	232	51.2	1	high		
GL140_1_metabinner_34_sub_35_1	468	S3	508	4e-182	598.7	5	430	42	467	83.7	1	high	3.1.6.- 3.1.6.19 	
GFS_2200_216_10	767	S1_4	536	4.7e-209	687.8	2	519	30	565	96.5	1	high	3.1.6.1 	
336R_concoct_189_sub_487_5	766	S1_4	536	3.8e-207	681.5	2	521	30	576	96.8	1	high	3.1.6.1 	
GL74_UP_metabat_64_471_2	533	S1_24	410	3.8e-153	502.7	2	403	21	426	97.8	1	high		
GFS_1097_686_2	316	S1_11	498	1.6e-112	369.3	4	290	14	316	57.4	1	high	3.1.6.11 3.1.6.14 	
GFS_12895_1597_5	389	S1_7	456	1.2e-132	435.4	2	371	23	388	80.9	1	high	3.1.6.13 3.1.6.- 	
GFS_9658_80_26	573	S1_4	536	1.5e-197	649.9	2	517	22	558	96.1	1	high	3.1.6.1 	
GL65_UP_concoct_5_239_3	473	S1_7	456	5.2e-144	472.8	2	444	30	464	96.9	1	high	3.1.6.13 3.1.6.- 	
GFS_12867_45_25	510	S1_8	443	2.4e-130	427.5	3	430	28	472	96.4	1	high	3.10.1.1 3.1.6.- 	
GL92_UP_concoct_71_446_4	384	S1_0	499	4.6e-102	334.7	103	493	2	366	78.2	1	high	3.1.-.- 	
GL74_DN_concoct_206_sub_70_5	677	S3	508	2.3e-230	757.9	7	503	47	548	97.6	1	high	3.1.6.- 3.1.6.19 	
GFS_4032_416_2	530	S1_8	443	8.6e-104	340.0	81	435	9	357	79.9	1	high	3.10.1.1 3.1.6.- 	
GFS_7316_196_1	296	S1_4	536	5.5e-109	357.5	2	272	27	295	50.4	1	high	3.1.6.1 	
GL97_DN_metabinner_5_sub_107_1	521	S1_0	499	3.9e-186	612.0	4	497	3	501	98.8	1	high	3.1.-.- 	
GFS_5508_35_1	164	S1_21	416	6e-55	179.0	252	414	1	162	38.9	1	probable fragment		
GFS_5413_940_3	590	S1_17	425	9e-158	517.8	2	420	25	438	98.4	1	high	3.1.6.- 	
GL93_UP_concoct_250_109_4	489	S1_7	456	3.9e-152	499.6	2	450	24	470	98.2	1	high	3.1.6.13 3.1.6.- 	
GFS_12838_153_11	457	S1_11	498	2.2e-98	661.4	5	485	15	455	96.4	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 239 to 455 score 322.6 fragment 2 from 15 to 236 score 338.8
GL47_Down_concoct_39_622_2	265	S1_14	426	8.8e-99	323.4	181	422	2	252	56.6	1	high		
GFS_2506_1043_2	297	S1_25	440	1e-47	155.5	2	291	26	295	65.7	1	probable fragment		
GFS_6456_435_3	487	S1_37	447	1.8e-198	652.3	2	447	3	453	99.6	1	high		
GFS_5980_310_18	234	S1_4	536	4.3e-64	209.4	2	141	91	233	25.9	1	probable fragment		
GL117_DN_concoct_140_39_4	139	S1_7	456	8.5e-52	168.9	2	110	26	134	23.7	1	probable fragment		
GFS_13068_900_2	493	S1_14	426	4.4e-186	611.1	2	421	27	472	98.4	1	high		
GL106_DN_concoct_178_298_2	501	S1_19	430	6.4e-166	544.6	2	424	52	465	98.1	1	high	3.1.6.- 	
GFS_7524_1628_1	161	S1_14	426	1e-72	237.5	2	137	22	157	31.7	1	probable fragment		
GFS_6733_149_4	173	S1_27	454	1.3e-60	198.0	2	163	32	172	35.5	1	probable fragment		
GL61_DN_metabinner_3_sub_28_17	816	S1_4	536	8.8e-196	644.0	2	518	68	638	96.3	1	high	3.1.6.1 	
GL34_DN_concoct_226_281_1	469	S1_17	425	3.3e-169	555.5	2	411	26	447	96.2	1	high	3.1.6.- 	
GFS_223_790_1	329	S1_32	423	3.6e-103	337.7	115	409	1	306	69.5	1	high		
GL5_Up_concoct_179_267_4	493	S1_7	456	8.5e-155	508.4	3	445	36	488	96.9	1	high	3.1.6.13 3.1.6.- 	
GL139_DN_metabinner_2_472_2	600	S1_17	425	2.5e-166	546.0	2	422	21	444	98.8	1	high	3.1.6.- 	
GFS_11547_816_3	440	S1_24	410	1.4e-123	405.4	2	405	26	413	98.3	1	high		
GFS_1125_104_22	600	S1_20	444	5e-157	515.6	1	432	2	421	97.1	1	high		
GFS_3381_78_20	489	S1_15	471	2.3e-175	576.3	2	464	25	482	98.1	1	high	3.1.6.4 	
GL53_Down_metabat_90_262_3	441	S1_18	426	4.3e-200	657.2	2	422	3	432	98.6	1	high		
GFS_1677_341_11	553	S1_8	443	4.6e-137	449.6	2	432	26	474	97.1	1	high	3.10.1.1 3.1.6.- 	
GFS_3822_157_16	651	S3	508	1.5e-221	728.8	4	499	21	516	97.4	1	high	3.1.6.- 3.1.6.19 	
GFS_5127_157_5	518	S1_12	481	7.9e-215	706.6	2	481	10	488	99.6	1	high	3.1.6.6 3.1.6.- 	
GL124_UP_concoct_88_630_8	487	S1_20	444	2.3e-199	655.1	2	435	36	484	97.5	1	high		
GFS_1605_555_7	397	S1_11	498	3.9e-171	562.6	94	487	1	387	78.9	1	high	3.1.6.11 3.1.6.14 	
GL117_UP_metabat_119_129_1	260	S1_39	451	1.7e-53	344.2	2	268	19	260	59.0	1	high		fusion of 2 fragments from 131 to 260 score 174.1 fragment 2 from 19 to 127 score 170.1
GFS_6450_401_3	509	S1_4	536	3.1e-98	322.1	225	524	2	319	55.8	1	high	3.1.6.1 	
GFS_5652_5_15	437	S1_36	438	6e-171	561.4	2	381	21	410	86.5	1	high		
GFS_7164_316_3	197	S1_17	425	2.8e-73	239.4	2	171	27	197	39.8	1	probable fragment		
GFS_3889_137_3	163	S1_4	536	6.3e-63	205.5	2	130	34	163	23.9	1	probable fragment		
GL82_UP_concoct_93_814_2	325	S1_8	443	1.2e-101	332.9	2	296	24	324	66.4	1	high	3.10.1.1 3.1.6.- 	
GL65_UP_concoct_192_sub_1244_3	543	S1_4	536	1.5e-164	540.9	2	508	30	532	94.4	1	high	3.1.6.1 	
GFS_5889_720_11	467	S1_28	445	2.8e-147	483.4	2	440	29	451	98.4	1	high		
GL26_DN_metabat_42_391_4	540	S1_73	463	5.5e-99	324.3	1	441	35	515	95.0	1	high		
GL111_DN_concoct_133_26_2	463	S1_25	440	1.4e-185	609.9	2	435	22	450	98.4	1	high	3.1.6.- 	
GL74_DN_metabinner_5_11_2	485	S1_8	443	1.2e-136	448.3	2	433	25	467	97.3	1	high	3.10.1.1 3.1.6.- 	
GFS_10095_64_154	432	S3	508	6.5e-94	307.7	95	494	49	422	78.5	1	high	3.1.6.- 3.1.6.19 	
GFS_5689_402_1	504	S1_15	471	3e-98	520.3	199	468	34	490	57.1	1	high	3.1.6.4 	fusion of 2 fragments from 34 to 216 score 198.3 and from 214 to 490 score 322.0
GL26_DN_metabat_42_275_12	528	S1_4	536	7.4e-193	634.3	2	510	21	526	94.8	1	high	3.1.6.1 	
GL54_UP_concoct_14_380_6	449	S1_13	476	4.1e-154	506.4	5	462	2	438	96.0	1	high		
GFS_3520_565_5	426	S1_21	416	5e-141	462.5	2	414	24	424	99.0	1	high		
GFS_5830_277_3	367	S1_20	444	2.1e-130	427.8	2	311	60	366	69.6	1	high		
GFS_7207_1702_1	585	S1_8	443	2.6e-128	420.8	1	428	64	509	96.4	1	high	3.10.1.1 3.1.6.- 	
GL119_DN_concoct_185_27_13	474	S1_8	443	2e-131	431.1	2	430	42	454	96.6	1	high	3.10.1.1 3.1.6.- 	
GFS_12806_487_7	619	S1_8	443	3.1e-143	470.0	2	432	25	447	97.1	1	high	3.10.1.1 3.1.6.- 	
GL32_Down_concoct_208_sub_678_9	484	S1_28	445	5.3e-147	482.5	2	440	27	445	98.4	1	high		
GL82_UP_concoct_14_465_2	194	S1_4	536	1.5e-55	181.2	331	515	10	184	34.3	1	probable fragment		
GL34_DN_concoct_226_1042_1	594	S1_16	444	1.1e-168	553.8	3	433	34	462	96.8	1	high		
GL74_DN_metabat_135_sub_129_18	442	S1_18	426	1.3e-209	688.6	2	423	2	434	98.8	1	high		
GFS_2410_259_7	432	S1_21	416	4.9e-176	577.9	2	414	28	426	99.0	1	high		
GL53_Down_metabinner_17_355_3	525	S1_20	444	3.4e-128	420.6	2	434	26	479	97.3	1	high		
GFS_12827_23_10	473	S1_26	443	3.9e-144	473.3	2	438	26	464	98.4	1	high		
GFS_5688_22_18	572	S1_8	443	6.8e-118	386.4	2	433	36	538	97.3	1	high	3.10.1.1 3.1.6.- 	
GL121_DN_concoct_91_62_3	706	S1_48	499	3.3e-121	397.9	2	482	32	669	96.2	1	high		
GL140_5_metabat_326_sub_333_7	621	S1_17	425	7.7e-186	610.3	2	420	31	462	98.4	1	high	3.1.6.- 	
GL34_DN_concoct_226_3_6	460	S1_14	426	4.4e-178	584.7	2	421	11	446	98.4	1	high		
GFS_7207_0_6	396	S1_32	423	1.6e-145	477.2	2	358	43	396	84.2	1	high		
GFS_6110_103_2	452	S1_28	445	1.1e-110	465.1	3	440	31	424	98.2	1	high		fusion of 2 fragments from 142 to 424 score 362.7 fragment 2 from 31 to 140 score 102.4
GL35_DN_concoct_8_152_11	529	S1_8	443	1.2e-140	461.4	2	430	31	452	96.6	1	high	3.10.1.1 3.1.6.- 	
GFS_12854_88_2	522	S1_8	443	4.4e-120	393.7	4	428	26	461	95.7	1	high	3.10.1.1 3.1.6.- 	
GFS_5507_641_5	244	S1_8	443	3.4e-50	163.3	269	433	1	163	37.0	1	probable fragment		
GFS_1605_419_16	461	S1_19	430	9.5e-159	520.9	2	422	29	442	97.7	1	high	3.1.6.- 	
GFS_5453_184_114	509	S1_7	456	5.9e-168	551.8	3	447	18	498	97.4	1	high	3.1.6.13 3.1.6.- 	
GL137_UP_concoct_28_1310_3	234	S1_22	433	2.5e-92	302.2	2	206	24	233	47.1	1	high		
GL53_Down_metabinner_27_sub_29_7	466	S1_20	444	4.7e-176	578.3	2	437	29	464	98.0	1	high		
GFS_5294_557_2	475	S1_16	444	1.6e-161	530.1	2	433	19	456	97.1	1	high		
GL119_DN_concoct_185_437_10	450	S1_8	443	1.3e-130	428.4	3	423	19	435	94.8	1	high	3.10.1.1 3.1.6.- 	
GL140_5_metabinner_64_95_4	466	S1_19	430	6.1e-173	567.7	3	420	23	452	97.0	1	high	3.1.6.- 	
GFS_10772_20_6	472	S1_7	456	1.8e-142	467.8	4	447	1	460	97.1	1	high	3.1.6.13 3.1.6.- 	
GL74_DN_metabat_45_115_12	502	S1_14	426	3.1e-190	624.7	3	422	38	485	98.4	1	high		
GFS_8868_128_29	651	S3	508	3.3e-222	731.0	4	499	21	516	97.4	1	high	3.1.6.- 3.1.6.19 	
GL73_UP_concoct_17_347_4	626	S1_4	536	1.4e-210	692.9	2	516	54	602	95.9	1	high	3.1.6.1 	
GFS_9665_118_2	796	S1_4	536	1.3e-215	709.4	2	520	80	625	96.6	1	high	3.1.6.1 	
GFS_9491_685_3	183	S1_8	443	1.2e-45	148.4	273	431	1	157	35.7	1	probable fragment		
GL117_UP_metabat_70_116_99	480	S1_11	498	2.6e-108	704.6	6	482	21	478	95.6	1	high	3.1.6.11 3.1.6.14 	fusion of 2 fragments from 251 to 478 score 355.4 fragment 2 from 21 to 248 score 349.2
GL53_Down_metabinner_64_254_1	321	S1_68	505	1.9e-151	497.7	192	499	2	311	60.8	1	high		
GFS_10893_126_16	484	S1_16	444	1.7e-191	629.0	1	440	35	471	98.9	1	high		
GFS_3651_223_11	485	S1_8	443	8.6e-134	438.8	2	426	42	463	95.7	1	high	3.10.1.1 3.1.6.- 	
GFS_11693_1762_1	380	S1_21	416	1.8e-149	490.3	27	393	2	380	88.0	1	high		
GFS_10878_92_1	318	S3	508	5.7e-129	423.4	19	330	6	317	61.2	1	high	3.1.6.- 3.1.6.19 	
GL34_DN_metabinner_24_sub_274_13	499	S1_7	456	2.9e-159	523.1	2	445	30	466	97.1	1	high	3.1.6.13 3.1.6.- 	
GFS_7037_152_3	755	S1_4	536	1.5e-210	692.7	2	518	31	564	96.3	1	high	3.1.6.1 	
GFS_6317_139_2	530	S1_20	444	9.8e-169	554.2	3	439	2	449	98.2	1	high		
339R_metabinner_19_112_22	514	S1_12	481	3.9e-214	704.3	2	481	5	483	99.6	1	high	3.1.6.6 3.1.6.- 	
GFS_11902_177_2	483	S1_8	443	9e-115	376.2	3	426	24	475	95.5	1	high	3.10.1.1 3.1.6.- 	
GFS_6711_488_2	525	S1_37	447	2.2e-201	661.9	2	447	43	493	99.6	1	high		
GL139_DN_metabinner_2_480_4	305	S1_50	427	4.2e-152	499.2	2	285	20	304	66.3	1	high		
GFS_1376_338_5	338	S3	508	5.4e-92	301.4	293	503	1	211	41.3	1	high	3.1.6.- 3.1.6.19 	
GFS_9658_61_14	465	S1_7	456	4e-154	506.2	2	447	18	440	97.6	1	high	3.1.6.13 3.1.6.- 	
GFS_3927_27_7	663	S1_17	425	9e-122	399.2	3	422	76	499	98.6	1	high	3.1.6.- 	
GL97_DN_concoct_74_sub_30_5	599	S1_28	445	1e-175	577.1	3	441	136	562	98.4	1	high		
GFS_5737_55_14	522	S1_12	481	1.7e-208	685.7	2	480	2	485	99.4	1	high	3.1.6.6 3.1.6.- 	
GFS_5510_510_2	533	S1_8	443	2.3e-130	427.6	2	434	35	487	97.5	1	high	3.10.1.1 3.1.6.- 	
GL124_DN_metabat_122_sub_78_5	493	S1_27	454	1.1e-161	531.2	1	448	33	455	98.5	1	high	3.1.6.12 3.1.6.- 	
GL51_DN_metabinner_8_295_8	460	S1_19	430	5.7e-161	528.2	2	422	18	447	97.7	1	high	3.1.6.- 	
GL85_DN_metabinner_10_607_11	465	S1_28	445	3.3e-184	605.1	2	439	22	460	98.2	1	high		
GL28_DN_concoct_152_386_5	537	S1_4	536	1.7e-154	507.8	3	506	37	530	93.8	1	high	3.1.6.1 	
GL140_5_metabinner_35_sub_122_5	476	S1_7	456	9.2e-143	468.7	2	444	21	456	96.9	1	high	3.1.6.13 3.1.6.- 	
GL51_DN_metabinner_8_76_2	510	S1_8	443	1.4e-116	382.1	2	434	18	474	97.5	1	high	3.10.1.1 3.1.6.- 	
GFS_4032_559_2	472	S1_28	445	3.8e-148	486.3	2	440	25	443	98.4	1	high		
GL32_Down_metabinner_12_78_2	442	S1_21	416	4.7e-180	591.1	2	414	30	435	99.0	1	high		
GFS_12554_375_18	456	S1_25	440	2.2e-177	582.8	2	432	27	452	97.7	1	high	3.1.6.- 	
GL51_DN_metabinner_8_407_2	510	S1_8	443	2.1e-136	447.5	2	435	23	477	97.7	1	high	3.10.1.1 3.1.6.- 	
GFS_5712_15_20	255	S1_19	430	2.2e-58	190.2	2	144	14	153	33.0	1	probable fragment		
GFS_6110_833_7	472	S1_17	425	2.7e-166	545.9	2	412	24	451	96.5	1	high	3.1.6.- 	
GL98_DN_concoct_155_36_1	568	S1_17	425	8.7e-158	517.9	2	420	21	435	98.4	1	high	3.1.6.- 	
GL74_DN_concoct_21_sub_267_16	800	S1_4	536	5.7e-205	674.3	2	523	60	610	97.2	1	high	3.1.6.1 	
GL32_Down_metabat_63_246_2	561	S1_24	410	3.3e-120	394.2	2	404	31	453	98.0	1	high		
GFS_223_933_2	342	S1_8	443	2.1e-109	358.4	2	320	22	342	71.8	1	high	3.10.1.1 3.1.6.- 	
GL98_DN_concoct_155_423_8	486	S1_7	456	1.3e-156	514.3	2	447	27	452	97.6	1	high	3.1.6.13 3.1.6.- 	
GL130_UP_concoct_108_sub_191_3	513	S1_20	444	9.7e-162	531.1	2	438	54	505	98.2	1	high		
GL42_DN_concoct_87_sub_580_1	652	S3	508	2.5e-229	754.5	6	504	22	518	98.0	1	high	3.1.6.- 3.1.6.19 	
GFS_3877_142_3	585	S1_17	425	2.2e-165	542.9	2	420	21	433	98.4	1	high	3.1.6.- 	
GL95_UP_concoct_73_sub_413_5	652	S3	508	7.9e-34	109.5	245	324	456	535	15.6	1	probable fragment		
GL5_Up_concoct_179_426_17	450	S1_24	410	5.3e-167	548.3	2	406	27	427	98.5	1	high		
GL98_UP_concoct_6_sub_663_3	519	S1_12	481	3.3e-215	707.9	2	480	10	487	99.4	1	high	3.1.6.6 3.1.6.- 	
GL72_UP_concoct_107_62_1	248	S1_11	498	2.6e-107	352.1	252	488	2	239	47.4	1	high	3.1.6.11 3.1.6.14 	
GFS_5130_472_5	99	S1_14	426	2.3e-37	121.1	2	71	30	99	16.2	1	probable fragment		
GL77_DN_metabinner_2_457_2	439	S1_24	410	8.5e-123	402.7	2	406	23	434	98.5	1	high		
GL115_DN_metabinner_5_sub_89_1	629	S1_14	426	5.5e-175	574.5	2	419	26	445	97.9	1	high		
GFS_3960_218_3	501	S1_15	471	8.9e-183	600.8	2	469	24	480	99.2	1	high	3.1.6.4 	
GL74_DN_metabat_57_283_6	671	S3	508	2.1e-222	731.6	9	504	48	541	97.4	1	high	3.1.6.- 3.1.6.19 	
GFS_12766_202_1	336	S1_7	456	6.9e-97	317.5	3	304	26	336	66.0	1	high	3.1.6.13 3.1.6.- 	
